Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Wheel Size
Maruti,Swift VXI,Third Party,Petrol,5,"61,393",GJ20,First Owner,1197,Manual,2020,21.21,81.80,113,Jun,2020,30,6.14,Ahmedabad,
Kia,Seltos HTK G,Third Party insurance,Petrol,5,"1,20,000",,First Owner,1497,Manual,2020,16.8,113.43,144,,,30,9.0,Ahmedabad,
Hyundai,Aura SX Plus AMT,Third Party insurance,Petrol,5,"10,000",,Third Owner,1197,Automatic,2020,20.1,81.86,113.8,,,30,7.15,Ahmedabad,15
Ford,Ecosport 1.5 Ti VCT MT Trend,Available,Petrol,5,"1,10,000",,Third Owner,1499,Manual,2013,15.8,110,140,,,75,3.75,Ahmedabad,
Toyota,Innova 2.5 G (Diesel) 8 Seater,Third Party insurance,Diesel,8,"80,000",,Second Owner,2494,Manual,2012,12.99,100,200,,,75,5.7,Ahmedabad,15
Maruti,Wagon R LXI Minor,Third Party insurance,Petrol,5,"35,000",,Second Owner,1061,Manual,2010,18.9,67,84,,,75,1.8,Ahmedabad,13
Toyota,Etios Liva G,Third Party insurance,Petrol,5,"90,000",,Fourth Owner,1197,Manual,2014,17.71,78.9,104,,,75,2.0,Ahmedabad,14
Renault,Fluence Diesel E4,Third Party insurance,Diesel,5,"2,30,000",,Fourth Owner,1461,Manual,2012,21.8,78,240 ,,,75,3.95,Ahmedabad,16
Tata,Tiago XZ,Third Party insurance,Petrol,5,"10,000",,First Owner,1199,Manual,2020,23.84,83.83,114,,,30,5.5,Ahmedabad,
Maruti,Swift VXI,Third Party,Petrol,5,"92,020",GJ27,First Owner,1197,Manual,2017,21.21,81.80,113,Jun,2017,60,5.04,Ahmedabad,
Hyundai,Xcent 1.2 Kappa S,Third Party,Petrol,5,"91,877",GJ01,First Owner,1197,Manual,2016,19.1,82,114,Jun,2016,70,4.96,Ahmedabad,
Tata,Tiago XZ,Zero Dep,Petrol,5,"51,283",GJ01,First Owner,1199,Manual,2021,20.09,84.82,113,Jun,2021,20,6.22,Ahmedabad,
Hyundai,Grand i10 Sportz,Third Party,Petrol,5,"96,729",GJ06,First Owner,1197,Manual,2015,18.9,82,114,Jun,2015,75,4.52,Ahmedabad,
Hyundai,Creta 1.6 VTVT AT SX Plus,Comprehensive,Petrol,5,"48,840",GJ36,Second Owner,1591,Automatic,2016,13,121.3,151,Jun,2016,70,9.9,Ahmedabad,17
Hyundai,Grand i10 Asta,Zero Dep,Petrol,5,"82,060",GJ01,First Owner,1197,Manual,2014,18.9,82,114,Jun,2014,75,4.52,Ahmedabad,14
Hyundai,Santro Sportz,Comprehensive,Petrol,5,"13,001",GJ23,First Owner,1086,Manual,2020,20.3,68.05,99,Jun,2020,30,4.98,Ahmedabad,
Honda,Amaze S i-VTEC,Zero Dep,Petrol,5,"71,328",GJ01,First Owner,1198,Manual,2016,17.8,86.7,109,Jun,2016,70,5.3,Ahmedabad,
Hyundai,Grand i10 Nios Magna,Comprehensive,Petrol,5,"96,786",GJ02,First Owner,1197,Manual,2020,20.7,81.86,113.8,Jun,2020,30,6.0,Ahmedabad,
Maruti,Swift VXI,Third Party,Petrol,5,"69,678",GJ23,First Owner,1197,Manual,2017,21.21,81.80,113,Jun,2017,60,5.22,Ahmedabad,
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"96,788",GJ01,First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,5.71,Ahmedabad,16
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"97,824",GJ01,First Owner,1197,Manual,2016,21.4,83.1,115,Jun,2016,70,5.03,Ahmedabad,
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"1,10,000",,Third Owner,1197,Manual,2011,20.36,78.9,111.7,,,75,2.0,Ahmedabad,13
Maruti,Swift Dzire AMT VDI,Third Party insurance,Diesel,5,"80,000",,First Owner,1248,Automatic,2018,28.4,74.02,190,,,50,5.4,Ahmedabad,
Maruti,Alto LXi,Third Party insurance,Petrol,5,"50,000",N/A,First Owner,796,Manual,2009,19.7,46.3,62,,,75,1.5,Ahmedabad,12
Volkswagen,Polo Diesel Comfortline 1.2L,N/a,Diesel,5,"50,000",,Second Owner,1199,Manual,2013,22.07,73.9,180,,,75,2.6,Ahmedabad,15
Hyundai,Verna VTVT 1.6 SX,Third Party insurance,Petrol,5,"30,000",,First Owner,1591,Manual,2017,17,121.3,151,,,60,7.11,Ahmedabad,16
Maruti,Swift ZXI Plus,Third Party insurance,Petrol,5,"40,000",,First Owner,1197,Manual,2020,21.21,81.80,113,,,30,7.5,Ahmedabad,R15
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"1,20,000",,Third Owner,1248,Manual,2016,26.59,74,190,,,70,4.5,Ahmedabad,
Audi,A4 35 TDI Premium Plus,Third Party insurance,Diesel,5,"80,000",N/A,Second Owner,1968,Automatic,2017,18.25,187.74,400,,,60,23.5,Ahmedabad,17
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party,Petrol,5,"27,993",GJ01,Second Owner,1197,Manual,2017,18.9,81.86,113.75,Jun,2017,60,5.11,Ahmedabad,
Nissan,Micra Active XV,Third Party,Petrol,5,"3,60,000",GJ06,First Owner,1198,Manual,2017,19.69,67.04,104,Jun,2017,60,3.6,Ahmedabad,
Maruti,Swift VXI,Zero Dep,Petrol,5,"41,467",GJ01,First Owner,1197,Manual,2020,21.21,81.80,113,Jun,2020,30,6.48,Ahmedabad,
Hyundai,Grand i10 Asta Option,Comprehensive,Petrol,5,"60,596",GJ01,First Owner,1197,Manual,2014,18.9,82,114,Jun,2014,75,4.4,Ahmedabad,14
Hyundai,Grand i10 Sportz,Comprehensive,Petrol,5,"90,764",GJ35,Second Owner,1197,Manual,2016,18.9,82,114,Jun,2016,70,4.87,Ahmedabad,
Maruti,SX4 S Cross Alpha,Comprehensive,Petrol,5,"23,294",GJ06,First Owner,1462,Manual,2020,18.55,103.25,138,Jun,2020,30,10.65,Ahmedabad,16
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"97,759",GJ18,First Owner,998,Manual,2016,20.51,67.04,90,Jun,2016,70,4.12,Ahmedabad,
Honda,Brio S MT,Third Party,Petrol,5,"99,009",GJ01,Second Owner,1198,Manual,2013,19.4,86.8,109,Jun,2013,75,3.07,Ahmedabad,
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"94,072",GJ13,Second Owner,998,Manual,2016,20.51,67.04,90,Jun,2016,70,3.92,Ahmedabad,
Maruti,Ciaz Alpha Automatic BSIV,Third Party,Petrol,5,"49,775",GJ06,First Owner,1462,Automatic,2019,20.28,103.25,138,Jun,2019,40,10.03,Ahmedabad,16
Maruti,Wagon R ZXI 1.2,Third Party,Petrol,5,"93,116",GJ08,First Owner,1197,Manual,2019,20.52,81.80,113,Jun,2019,40,5.18,Ahmedabad,
Maruti,Swift ZXI Plus DT,Third Party,Petrol,5,"37,186",GJ27,First Owner,1197,Manual,2021,22.38,88.50,113,Jun,2021,20,8.5,Ahmedabad,15
Hyundai,Santro Xing XG,Third Party,Petrol,5,"1,40,000",,Second Owner,1086,Manual,2004,17,,,,,75,0.9,Ahmedabad,13
Maruti,Eeco CNG 5 Seater AC,Third Party insurance,CNG,5,"51,000",N/A,First Owner,1196,Manual,2021,20.88 ,61.68,85,,,20,5.5,Ahmedabad,
Mahindra,Bolero Plus - AC BSIII,Third Party insurance,Diesel,9,"1,00,000",,Second Owner,2523,Manual,2013,15.96,63,180,,,75,4.0,Ahmedabad,
Tata,Indica Quadrajet VX,Third Party insurance,Diesel,5,"1,50,000",,Fourth Owner,1248,Manual,2013,22.3,74,190,,,75,0.9,Ahmedabad,14
Honda,Brio V AT,Third Party insurance,Petrol,5,"30,000",,Second Owner,1198,Automatic,2013,18.4,86.8,109,,,75,4.0,Ahmedabad,14
Maruti,Wagon R LXI,Third Party insurance,Petrol,5,"53,000",,Third Owner,998,Manual,2005,18.9,67.1,90,,,75,0.9,Ahmedabad,13
Maruti,Baleno 1.2 Delta,Third Party insurance,Petrol,5,"20,000",,First Owner,1197,Manual,2018,21.4,83.1,115,,,50,6.0,Ahmedabad,
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"60,000",,First Owner,1248,Manual,2014,23.4,74,190,,,75,5.5,Ahmedabad,14
Maruti,Swift ZXI BSIV,Third Party,Petrol,5,"51,322",GJ06,First Owner,1197,Manual,2017,22,81.80,113,Jun,2017,60,6.05,Ahmedabad,15
Ford,Figo Titanium Blu BSIV,Third Party,Petrol,5,"38,748",GJ03,First Owner,1194,Manual,2019,20.4,94.93,120,Jun,2019,40,5.86,Ahmedabad,15
Maruti,Baleno 1.2 Alpha,Third Party,Petrol,5,"89,011",GJ06,Second Owner,1197,Manual,2017,21.4,83.1,115,Jun,2017,60,6.1,Ahmedabad,16
Hyundai,Grand i10 Asta,Comprehensive,Petrol,5,"88,128",GJ01,Second Owner,1197,Manual,2013,18.9,82,114,Jun,2013,75,4.22,Ahmedabad,14
MG,Hector Sharp Diesel MT BSIV,Third Party,Diesel,5,"92,886",GJ27,First Owner,1956,Manual,2019,17.41,167.68,350,Jun,2019,40,14.46,Ahmedabad,R17
Hyundai,Santro Magna BSIV,Third Party,Petrol,5,"27,043",GJ01,First Owner,1086,Manual,2018,20.3,68,99,Jun,2018,50,4.61,Ahmedabad,
Maruti,Swift Dzire AMT ZXI Plus,Comprehensive,Petrol,5,"53,341",GJ27,Second Owner,1197,Automatic,2017,21.21,81.80,113,Jun,2017,60,6.56,Ahmedabad,15
Maruti,Swift VXI,Third Party,Petrol,5,"64,845",GJ27,First Owner,1197,Manual,2021,22.38,88.50,113,Jun,2021,20,6.77,Ahmedabad,
Hyundai,Xcent 1.2 VTVT SX,Zero Dep,Petrol,5,"50,737",GJ01,Second Owner,1197,Manual,2018,20.14,81.86,113.75,Jun,2018,50,5.46,Ahmedabad,14
Maruti,Ciaz VXi Plus,Comprehensive,Petrol,5,"74,970",GJ01,Second Owner,1373,Manual,2014,20.73,91.1,130,Jun,2014,75,5.52,Ahmedabad,
Maruti,SX4 S Cross Alpha,Comprehensive,Petrol,5,"55,177",GJ08,First Owner,1462,Manual,2020,18.55,103.25,138,Jun,2020,30,10.62,Ahmedabad,16
Tata,Nexon XM Diesel S,Zero Dep,Diesel,5,"28,907",GJ38,First Owner,1497,Manual,2021,23.22,113.42,260,Jun,2021,20,9.57,Ahmedabad,
Hyundai,i10 Magna 1.2 iTech SE,Third Party insurance,Petrol,5,"70,000",,Second Owner,1197,Manual,2012,20.36,78.9,111.7,,,75,2.1,Ahmedabad,13
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"96,000",,Third Owner,998,Manual,2015,20.51,67.04,90,,,75,2.55,Ahmedabad,
Datsun,RediGO S,Individual,Petrol,5,"55,000",,First Owner,799,Manual,2017,22.7,53.64,72,,,60,1.75,Ahmedabad,
Hyundai,Verna 1.6 SX,N/a,Diesel,5,"1,00,000",,Fourth Owner,1582,Manual,2014,22.32,126.32,259.8,,,75,3.5,Ahmedabad,16
Maruti,Ciaz VDi Plus SHVS,Third Party insurance,Diesel,5,"1,10,000",,First Owner,1248,Manual,2016,28.09,88.5,200,,,70,5.2,Ahmedabad,
Hyundai,Xcent 1.2 CRDi E Plus,Third Party insurance,Diesel,5,"1,20,000",,Second Owner,1186,Manual,2017,25.4,73.97,190.24,,,60,3.3,Ahmedabad,
Maruti,Celerio X VXI BSIV,Third Party insurance,Petrol,5,"80,000",N/A,First Owner,998,Manual,2017,21.63,67,90,,,60,4.25,Ahmedabad,
Tata,New Safari XZ Plus,Third Party insurance,Diesel,7,"37,000",N/A,First Owner,1956,Manual,2021,16.14,167.67,350,,,20,20.5,Ahmedabad,18
Maruti,Ciaz Delta BSIV,Third Party,Petrol,5,"41,382",GJ18,First Owner,1462,Manual,2018,21.56,103.25,138,Jun,2018,50,6.99,Ahmedabad,15
Nissan,Micra XV CVT,Third Party,Petrol,5,"65,712",GJ05,First Owner,1198,Automatic,2018,19.15,75.94,104,Jun,2018,50,5.4,Ahmedabad,15
Hyundai,Xcent 1.2 VTVT SX,Zero Dep,Petrol,5,"41,016",GJ38,Second Owner,1197,Manual,2018,20.14,81.86,113.75,Jun,2018,50,5.56,Ahmedabad,14
Hyundai,Elantra 2.0 SX Option AT,Third Party,Petrol,5,"83,023",GJ01,Second Owner,1999,Automatic,2018,14.62,149.92,192.2,Jun,2018,50,15.06,Ahmedabad,16
Hyundai,Elantra 2.0 SX Option,Third Party,Petrol,5,"84,491",GJ38,First Owner,1999,Manual,2017,14.59,149.92,192.2,Jun,2017,60,9.88,Ahmedabad,16
Maruti,Wagon R AMT VXI,Zero Dep,Petrol,5,"71,639",GJ27,First Owner,998,Automatic,2018,20.51,67,90,Jun,2018,50,4.97,Ahmedabad,
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"97,604",GJ06,First Owner,1197,Manual,2017,18.9,81.86,113.75,Jun,2017,60,4.54,Ahmedabad,
Maruti,Ciaz Alpha Diesel,Third Party,Diesel,5,"43,621",GJ06,Second Owner,1248,Manual,2018,28.09,88.50,200,Jun,2018,50,7.88,Ahmedabad,16
Honda,WR-V i-VTEC VX,Third Party,Petrol,5,"89,242",GJ18,First Owner,1199,Manual,2018,17.5,88.7,110,Jun,2018,50,7.44,Ahmedabad,16
Toyota,Corolla Altis VL AT,Comprehensive,Petrol,5,"96,007",GJ01,Third Owner,1798,Automatic,2017,14.28,138.03,173,Jun,2017,60,10.57,Ahmedabad,16
Maruti,Ciaz Delta BSIV,Third Party,Petrol,5,"59,816",GJ01,First Owner,1462,Manual,2018,21.56,103.25,138,Jun,2018,50,7.35,Ahmedabad,15
Volkswagen,Vento 1.0 TSI Comfortline,Comprehensive,Petrol,5,"69,364",GJ24,First Owner,999,Manual,2020,17.69,108.62,175,Jun,2020,30,8.73,Ahmedabad,R15
Maruti,Wagon R ZXI 1.2,Third Party insurance,Petrol,5,"47,586",,First Owner,1197,Manual,2019,20.52,81.80,113,,,40,5.2,Ahmedabad,
Maruti,Zen Estilo LXI BS IV,Third Party insurance,Petrol,5,"90,000",,Third Owner,998,Manual,2012,19,67.1,90,,,75,2.0,Ahmedabad,13
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"80,000",,Third Owner,1197,Manual,2009,20.36,78.9,111.7,,,75,1.8,Ahmedabad,13
Maruti,Swift Dzire ZDI,Third Party insurance,Diesel,5,"1,63,000",,First Owner,1248,Manual,2013,23.4,74,190,,,75,3.81,Ahmedabad,15
Audi,A3 35 TDI Premium Plus,Third Party insurance,Diesel,5,"50,000",,First Owner,1968,Automatic,2014,20.38,143,320,,,75,17.5,Ahmedabad,17
Mahindra,Quanto C8,Third Party insurance,Diesel,7,"70,000",,Second Owner,1493,Manual,2014,17.21,100,240,,,75,3.5,Ahmedabad,15
Volkswagen,Vento 1.6 Highline,Comprehensive,Petrol,5,"38,199",GJ01,First Owner,1598,Manual,2013,15.04,103.2,153,May,2013,75,4.25,Ahmedabad,15
Honda,Amaze S,Third Party insurance,Petrol,5,"15,000",N/A,First Owner,1199,Manual,2022,18.6,88.50,110,,,15,6.97,Ahmedabad,
Maruti,Ignis 1.2 Alpha BSIV,Third Party,Petrol,5,"84,496",GJ13,First Owner,1197,Manual,2017,20.89,81.80,113,Jun,2017,60,5.05,Ahmedabad,15
Kia,Sonet HTX Turbo iMT,Third Party,Petrol,5,"20,724",GJ01,First Owner,998,Manual,2021,18.2,118.36,172,Jun,2021,20,10.22,Ahmedabad,16
Hyundai,Venue S,Third Party,Petrol,5,"26,909",GJ27,First Owner,1197,Manual,2022,,81.80,113.8,Jun,2022,15,8.74,Ahmedabad,
Maruti,Celerio VXI CNG,Zero Dep,CNG,5,"25,295",GJ27,First Owner,998,Manual,2020,30.47 ,58.33,78,Jun,2020,30,5.45,Ahmedabad,
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"8,863",GJ38,First Owner,796,Manual,2020,22.05,47.33,69,Dec,2020,30,3.3,Ahmedabad,
Mahindra,Thar LX 4-Str Hard Top AT,Third Party,Petrol,4,"3,624",GJ03,First Owner,1997,Automatic,2021,,150,320,Jun,2021,20,14.92,Ahmedabad,18
Tata,Punch Creative AMT DT,Comprehensive,Petrol,5,"7,892",GJ01,First Owner,1199,Automatic,2022,18.8,117.74,115,Jun,2022,15,9.2,Ahmedabad,16
Hyundai,i20 Petrol CVT Asta,Third Party insurance,Petrol,5,"19,100",GJ06,First Owner,1197,Automatic,2018,17.4,81.86,114.73,Jun,2018,50,6.95,Ahmedabad,15
Mahindra,Thar LX 4-Str Hard Top AT,Zero Dep,Petrol,4,"10,684",GJ01,First Owner,1997,Automatic,2021,,150,320,Jun,2021,20,14.8,Ahmedabad,18
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Comprehensive,Petrol,5,"19,070",GJ01,First Owner,1197,Manual,2018,18.9,81.86,113.75,Jun,2018,50,5.38,Ahmedabad,
Maruti,Swift VXI,Third Party,Petrol,5,"25,275",GJ27,First Owner,1197,Manual,2020,21.21,81.80,113,Jun,2020,30,6.59,Ahmedabad,
Volkswagen,Taigun 1.0 TSI Highline AT,Comprehensive,Petrol,5,"6,606",GJ01,First Owner,999,Automatic,2022,18.41,113.98,178,Jun,2022,15,14.19,Ahmedabad,16
Datsun,GO T BSIV,Third Party insurance,Petrol,5,"30,000",,First Owner,1198,Manual,2017,20.63,67,104,,,60,3.0,Ahmedabad,
Hyundai,i10 Era,Third Party insurance,Petrol,5,"15,000",,Second Owner,1086,Manual,2012,19.81,68.05,99.04,,,75,2.9,Ahmedabad,
Hyundai,Verna SX Opt AT Diesel,Third Party insurance,Diesel,5,"75,000",,First Owner,1493,Automatic,2020,21.3,113.45,250,,,30,10.5,Ahmedabad,16
Hyundai,Santro Sportz BSIV,Third Party insurance,Petrol,5,"70,000",,Second Owner,1086,Manual,2019,20.3,68,99,,,40,4.25,Ahmedabad,
Maruti,Baleno 1.2 Delta,Available,Petrol,5,"20,000",,First Owner,1197,Manual,2018,21.4,83.1,115,,,50,4.6,Ahmedabad,
Maruti,Alto 800 VXI,Third Party insurance,Petrol,5,"40,000",,Second Owner,796,Manual,2019,24.7,47.3,69,,,40,2.7,Ahmedabad,
Mahindra,TUV 300 T10,Available,Diesel,7,"1,20,000",,First Owner,1493,Manual,2018,18.49,100,240,,,50,7.5,Ahmedabad,15
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"70,000",,Second Owner,796,Manual,2015,22.74,47.3,69,,,75,2.2,Ahmedabad,
Mahindra,Thar LX 4-Str Hard Top AT,Third Party,Petrol,4,"5,633",GJ23,First Owner,1997,Automatic,2021,,150,320,Jun,2021,20,15.48,Ahmedabad,18
Hyundai,Grand i10 Nios AMT Sportz,Third Party,Petrol,5,"12,953",GJ01,First Owner,1197,Automatic,2020,20.7,81.86,113.8,Jun,2020,30,7.18,Ahmedabad,14
Maruti,Swift Dzire VXI,Comprehensive,Petrol,5,"28,698",GJ27,First Owner,1197,Manual,2016,20.85,83.14,115,Jun,2016,70,5.02,Ahmedabad,
Hyundai,Grand i10 Nios AMT Sportz,Third Party,Petrol,5,"4,699",GJ06,Second Owner,1197,Automatic,2020,20.7,81.86,113.8,Jun,2020,30,7.26,Ahmedabad,14
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"10,923",GJ01,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.25,Ahmedabad,
Renault,Kiger RXZ,Zero Dep,Petrol,5,"4,044",GJ06,First Owner,999,Manual,2022,19.17,71.01,96,Jun,2022,15,8.36,Ahmedabad,16
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"19,509",GJ01,First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,6.08,Ahmedabad,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"27,008",GJ10,Second Owner,796,Manual,2012,22.74,47.3,69,Jun,2012,75,2.17,Ahmedabad,
Tata,Tiago XT Option,Zero Dep,Petrol,5,"8,419",GJ01,First Owner,1199,Manual,2021,19.01,84.82,113,Jun,2021,20,5.98,Ahmedabad,
Skoda,Kushaq 1.0 TSI Ambition AT,Third Party,Petrol,5,"8,798",GJ14,First Owner,999,Automatic,2021,17.2,113.98,178,Jun,2021,20,13.72,Ahmedabad,16
Maruti,Celerio ZXI Plus,Third Party,Petrol,5,"3,276",GJ06,First Owner,998,Manual,2021,24.97,65.71,89,Jun,2021,20,5.98,Ahmedabad,15
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"8,407",GJ01,First Owner,1197,Manual,2020,22.41,88.50,113,Jun,2020,30,7.01,Ahmedabad,
Maruti,Eeco 5 Seater AC 2020-2022,Third Party insurance,Petrol,5,"3,600",,First Owner,1196,Manual,2021,16.11,72.41,98,,,20,4.6,Ahmedabad,
Hyundai,i10 Sportz,Third Party insurance,Petrol,5,"60,000",,Second Owner,1197,Manual,2011,20.36,78.9,111.8,,,75,2.0,Ahmedabad,13
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"60,000",N/A,First Owner,796,Manual,2015,22.74,47.3,69,,,75,2.5,Ahmedabad,
Mahindra,XUV300 W6 AMT Diesel Sunroof,Individual,Diesel,5,"25,000",,First Owner,1497,Automatic,2021,20,115,300,,,20,10.5,Ahmedabad,
Maruti,Swift VDI,Third Party insurance,Diesel,5,"1,00,000",,Second Owner,1248,Manual,2013,22.9,74,190,,,75,3.8,Ahmedabad,14
Tata,Zest Revotron 1.2T XE,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,1193,Manual,2014,17.57,88.7,140,,,75,2.0,Ahmedabad,
Mahindra,Bolero DI 4WD NON AC,Third Party insurance,Diesel,8,"1,20,000",N/A,First Owner,2523,Manual,2013,13.6,63,180,,,75,4.0,Ahmedabad,15
Renault,KWID RXT,Third Party insurance,Petrol,5,"65,000",N/A,Second Owner,799,Manual,2016,25.17,53.3,72,,,70,2.6,Ahmedabad,
Honda,Amaze S i-Vtech,Third Party,Petrol,5,"59,373",GJ01,First Owner,1198,Manual,2013,18,86.7,109,Jun,2013,75,4.02,Ahmedabad,
MG,Hector Sharp DCT,Third Party,Petrol,5,"31,921",GJ06,First Owner,1451,Automatic,2020,13.96,141,250,Jun,2020,30,15.05,Ahmedabad,R17
Renault,KWID 1.0 Neotech,Third Party,Petrol,5,"25,938",GJ38,First Owner,999,Manual,2020,21.74,67,91,Jun,2020,30,4.29,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party insurance,Petrol,5,"24,657",GJ05,First Owner,1197,Manual,2019,18.9,81.86,113.75,Oct,2019,40,5.7,Ahmedabad,
MG,Hector Sharp DCT,Third Party,Petrol,5,"27,743",GJ05,First Owner,1451,Automatic,2020,13.96,141,250,Jun,2020,30,15.05,Ahmedabad,R17
Maruti,Alto 800 LXI,Third Party,Petrol,5,"20,240",GJ01,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.15,Ahmedabad,
Maruti,Wagon R LXI,Third Party,Petrol,5,"10,843",GJ01,First Owner,998,Manual,2019,21.79,67.05,90,Jun,2019,40,4.99,Ahmedabad,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"5,861",GJ23,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,3.86,Ahmedabad,
Hyundai,i20 Asta Turbo iMT,Third Party insurance,Petrol,5,"26,595",GJ01,First Owner,998,Manual,2020,20,118.36,171.62,Jun,2021,30,7.95,Ahmedabad,16
Honda,City i-VTEC VX,Third Party,Petrol,5,"16,559",GJ01,First Owner,1497,Manual,2017,17.4,117.6,145,Jun,2017,60,8.71,Ahmedabad,16
Hyundai,Santro Sportz BSIV,Comprehensive,Petrol,5,"13,339",GJ06,First Owner,1086,Manual,2019,20.3,68,99,Jun,2019,40,4.86,Ahmedabad,
Renault,Kiger RXL AMT,Comprehensive,Petrol,5,"17,596",GJ27,First Owner,999,Automatic,2021,19.03,71.01,96,Jul,2021,20,6.6,Ahmedabad,
Mahindra,Bolero Power Plus SLE,Third Party insurance,Diesel,7,"1,20,000",,First Owner,1493,Manual,2018,16.5,70,195,,,50,6.5,Ahmedabad,
Maruti,Ciaz 1.4 Alpha,Third Party insurance,Petrol,5,"35,000",,Second Owner,1373,Manual,2015,20.73,91.1,130,,,75,6.5,Ahmedabad,16
Hyundai,Santro Xing XL AT eRLX Euro II,Third Party insurance,Petrol,5,"70,000",,Second Owner,1086,Automatic,2007,17,,,,,75,1.5,Ahmedabad,13
Tata,Altroz XZ Diesel,Third Party insurance,Diesel,5,"80,000",,First Owner,1497,Manual,2020,23.64,88.77,200,,,30,8.0,Ahmedabad,16
Honda,Jazz ZX CVT,Comprehensive,Petrol,5,"15,553",GJ18,First Owner,1199,Automatic,2021,17.1,88.50,110,Aug,2021,20,11.25,Ahmedabad,15
Maruti,Wagon R Stingray LXI,Third Party insurance,Petrol,5,"80,000",,Second Owner,998,Manual,2014,20.51,67.04,90,,,75,3.35,Ahmedabad,
Hyundai,i20 Sportz,Third Party insurance,Petrol,5,"11,000",,First Owner,1197,Manual,2022,21,81.80,114.74,,,15,7.8,Ahmedabad,
Honda,City E,Third Party,Petrol,5,"90,000",,Fourth Owner,1497,Manual,2012,16.8,116.3,146,,,75,2.45,Ahmedabad,15
Hyundai,i20 Sportz,Third Party,Petrol,5,"12,402",GJ38,Second Owner,1197,Manual,2021,21,81.80,114.74,Jun,2021,20,7.42,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party,Petrol,5,"22,506",GJ18,First Owner,1197,Manual,2019,18.9,81.86,113.75,Jun,2019,40,5.44,Ahmedabad,
Hyundai,Grand i10 Nios AMT Magna,Third Party,Petrol,5,"30,347",GJ18,First Owner,1197,Automatic,2020,20.7,81.86,113.8,Jun,2020,30,6.49,Ahmedabad,
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"28,279",GJ31,Second Owner,1197,Manual,2017,18.9,81.86,113.75,Jun,2017,60,4.92,Ahmedabad,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"12,198",GJ27,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,3.8,Ahmedabad,
Hyundai,Verna 1.6 VTVT AT SX,Comprehensive,Petrol,5,"49,719",GJ01,First Owner,1591,Automatic,2016,17.01,121.3,154.9,Jun,2016,70,6.4,Ahmedabad,16
Tata,Harrier XZA Plus Dark Edition AT,Third Party,Diesel,5,"34,360",GJ18,First Owner,1956,Automatic,2022,14.6,167.67,350,Jun,2022,15,20.43,Ahmedabad,18
Hyundai,Creta SX,Zero Dep,Petrol,5,"6,169",GJ01,First Owner,1497,Manual,2020,,113.18,143.8,Jun,2020,30,13.95,Ahmedabad,17
Maruti,Baleno Zeta CVT,Comprehensive,Petrol,5,"18,226",GJ06,First Owner,1197,Automatic,2021,19.56,81.80,113,Jun,2021,20,8.15,Ahmedabad,R16
Mahindra,Thar LX 4-Str Convert Top AT,Third Party,Petrol,4,"5,717",GJ01,First Owner,1997,Automatic,2021,15.2,150,320,Jun,2021,20,15.21,Ahmedabad,18
Honda,City i-VTEC CVT ZX,Third Party,Petrol,5,"42,205",GJ06,First Owner,1497,Automatic,2018,18,117.6,145,Jun,2018,50,11.29,Ahmedabad,16
Honda,City i-VTEC CVT V,Comprehensive,Petrol,5,"95,052",GJ05,First Owner,1497,Automatic,2017,18,117.6,145,Aug,2017,60,6.95,Ahmedabad,15
