Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Wheel Size
Volkswagen,Vento 1.5 TDI Highline AT,Third Party insurance,Diesel,5,"1,21,869",GJ01,First Owner,1498,Automatic,2017,22.15,108.6,250,Oct,2017,60,5.95,Ahmedabad,15
Maruti,Alto 800 VXI,Third Party,Petrol,5,"33,949",GJ02,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,3.95,Ahmedabad,
Ford,Ecosport 1.5 Petrol Titanium BSIV,Third Party insurance,Petrol,5,"60,000",GJ06,First Owner,1497,Manual,2018,17,121.31,150,May,2018,50,7.75,Ahmedabad,16
Volkswagen,Polo 1.5 TDI Trendline,Third Party insurance,Diesel,5,"36,000",GJ01,First Owner,1498,Manual,2015,20.14,88.8,230,Aug,2015,75,4.95,Ahmedabad,
Audi,Q3 2.0 TDI WCI,Third Party insurance,Diesel,5,"72,000",GJ06,First Owner,1968,Automatic,2014,15.73,174.33,380,Jan,2014,75,14.0,Ahmedabad,16
Audi,A4 2.0 TDI Premium Plus,Third Party insurance,Diesel,5,"1,22,000",GJ01,First Owner,1968,Automatic,2013,17.11,174.33,380,Mar,2013,75,13.0,Ahmedabad,17
Hyundai,Accent GLE,Comprehensive,Petrol,5,"57,000",GJ01,First Owner,1495,Manual,2011,13.2,,12,Nov,2011,75,2.25,Ahmedabad,13
Ford,Ecosport 1.5 Diesel Titanium,Comprehensive,Diesel,5,"62,000",GJ01,First Owner,1498,Manual,2015,21.7,98.96,215,Oct,2015,75,5.9,Ahmedabad,R16
Maruti,SX4 S Cross Alpha DDiS 200 SH,Available,Diesel,5,"1,10,000",,First Owner,1248,Manual,2018,25.1,88.5,200,,,50,7.5,Ahmedabad,R16
Maruti,Alto 800 VXI Plus,Third Party insurance,Petrol,5,"70,000",,First Owner,796,Manual,2020,22.05,47.33,69,,,30,3.49,Ahmedabad,
Hyundai,i10 Sportz 1.1L,Third Party,Petrol,5,"50,004",GJ05,First Owner,1086,Manual,2015,19.81,68.05,99.04,Jun,2015,75,3.79,Ahmedabad,
Skoda,Rapid 1.6 MPI Elegance,Third Party insurance,Petrol,5,"87,094",GJ05,First Owner,1598,Manual,2013,15,103.5,153,Oct,2013,75,3.65,Ahmedabad,15
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"13,541",GJ27,First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.83,Ahmedabad,
Maruti,Baleno Zeta CVT,Third Party,Petrol,5,"36,848",GJ01,First Owner,1197,Automatic,2021,19.56,81.80,113,Jun,2021,20,8.13,Ahmedabad,R16
Honda,City Edge Edition SV,Third Party,Petrol,5,"76,040",GJ06,Second Owner,1497,Manual,2018,17.4,117.3,145,Jun,2018,50,6.88,Ahmedabad,
Hyundai,Aura SX Option,Comprehensive,Petrol,5,"30,109",GJ01,First Owner,1197,Manual,2020,20.5,81.86,113.8,Jun,2020,30,7.69,Ahmedabad,15
Maruti,Alto 800 LXI,Third Party,Petrol,5,"18,132",GJ02,First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.64,Ahmedabad,
Hyundai,Santro Era Executive BSIV,Third Party,Petrol,5,"18,024",GJ10,First Owner,1086,Manual,2019,20.3,68,99,Jun,2019,40,4.1,Ahmedabad,
Maruti,Ignis 1.2 Delta BSIV,Third Party,Petrol,5,"13,351",GJ06,First Owner,1197,Manual,2018,20.89,81.80,113,Jun,2018,50,4.82,Ahmedabad,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"10,575",GJ18,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,4.04,Ahmedabad,
Maruti,Swift VXI,Zero Dep,Petrol,5,"51,848",GJ01,First Owner,1197,Manual,2017,21.21,81.80,113,Jun,2017,60,5.43,Ahmedabad,
Maruti,Alto 800 LXI BSIV,Zero Dep,Petrol,5,"23,132",GJ03,First Owner,796,Manual,2019,24.7,47.3,69,Jun,2019,40,3.4,Ahmedabad,
Hyundai,Verna 1.4 CRDi,Third Party insurance,Diesel,5,"70,000",,First Owner,1396,Manual,2015,24.8,88.7,219.7,,,75,5.0,Ahmedabad,15
Toyota,Urban cruiser High,Third Party insurance,Petrol,5,"15,000",,First Owner,1462,Manual,2021,17.03,103.26,138,,,20,9.11,Ahmedabad,16
Chevrolet,Captiva LTZ VCDi,Available,Diesel,7,"1,20,000",N/A,Second Owner,1991,Automatic,2009,12.5,147.9,320,,,75,3.2,Ahmedabad,17
Honda,City 1.5 E MT,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,1497,Manual,2008,17,"118PS at 6,600 ",146Nm at 4800 r,,,75,1.5,Ahmedabad,15
Maruti,Ertiga VXI,Comprehensive,Petrol,7,"66,000",GJ01,First Owner,1462,Manual,2015,19.01,103.26,138,Feb,2015,75,6.9,Ahmedabad,
Volkswagen,Vento 1.5 TDI Highline AT,Comprehensive,Diesel,5,"69,000",GJ18,Second Owner,1498,Automatic,2015,22.15,108.6,250,Mar,2015,75,5.25,Ahmedabad,15
Mahindra,Ssangyong Rexton RX7,Comprehensive,Diesel,7,"91,000",GJ01,Second Owner,2696,Automatic,2014,11.18,184,402,Jul,2014,75,6.9,Ahmedabad,16
Hyundai,Grand i10 Magna,Comprehensive,Petrol,5,"77,000",GJ18,First Owner,1197,Manual,2016,18.9,82,114,Feb,2016,70,5.11,Ahmedabad,
Toyota,Etios Liva G,Third Party insurance,Petrol,5,"84,313",GJ01,Second Owner,1197,Manual,2011,18.3,,,Sept,2011,75,2.6,Ahmedabad,14
Skoda,Kushaq 1.0 TSI Style AT,Zero Dep,Petrol,5,"14,232",GJ27,First Owner,999,Automatic,2021,17.2,113.98,178,Jun,2021,20,14.42,Ahmedabad,17
Maruti,Swift VXI Optional,Comprehensive,Petrol,5,"74,132",GJ06,First Owner,1197,Manual,2017,20.4,81.80,113,Jun,2017,60,5.06,Ahmedabad,
Maruti,Celerio ZXI,Third Party,Petrol,5,"31,960",GJ08,First Owner,998,Manual,2020,21.63,67.05,90,Jun,2020,30,5.4,Ahmedabad,
Hyundai,Tucson 2.0 Dual VTVT 2WD AT GL,Third Party,Petrol,5,"52,845",GJ01,First Owner,1999,Automatic,2017,12.95,152.88,192.21,Jun,2017,60,12.81,Ahmedabad,18
Honda,City i VTEC V,Third Party,Petrol,5,"85,802",GJ01,Second Owner,1497,Manual,2015,17.4,117.3,145,Jun,2015,75,6.0,Ahmedabad,15
Maruti,Ritz LXi,Comprehensive,Petrol,5,"53,736",GJ01,Second Owner,1197,Manual,2014,18.5,85.80,114,Oct,2014,75,3.2,Ahmedabad,
Maruti,Baleno Delta,Third Party,Petrol,5,"41,880",GJ01,First Owner,1197,Manual,2019,21.01,81.80,113,Jun,2019,40,5.93,Ahmedabad,
