Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Maruti,Alto 800 LXI,Third Party,Petrol,5,"26,688",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.33,Kolkata,WB24,
Maruti,Swift LXI Optional-O,Comprehensive,Petrol,5,"50,820",First Owner,1197,Manual,2016,20.4,83.11,113,Jun,2016,70,3.51,Kolkata,WB08,
Volkswagen,Vento 1.2 TSI Comfortline AT,Comprehensive,Petrol,5,"23,797",First Owner,1197,Automatic,2015,16.93,103.2,175,Jun,2015,75,5.31,Kolkata,WB02,
Maruti,Alto K10 VXI,Comprehensive,Petrol,5,"24,486",Second Owner,998,Manual,2018,23.95,67.05,90,Jun,2018,50,3.42,Kolkata,WB90,
Maruti,Wagon R VXI,Comprehensive,Petrol,5,"9,231",First Owner,998,Manual,2020,21.79,67.05,90,Jul,2020,30,5.05,Kolkata,WB18,
Hyundai,Creta 1.6 CRDi SX Plus,Third Party,Diesel,5,"40,286",First Owner,1582,Manual,2017,19.67,126.2,259.9,Jun,2017,60,7.91,Kolkata,WB06,16
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"49,200",First Owner,2755,Automatic,2018,11.36,171.5,360,Oct,2018,50,18.5,Kolkata,WB02,17
Maruti,Ciaz Alpha Automatic BSIV,Comprehensive,Petrol,5,"31,000",First Owner,1462,Automatic,2018,20.28,103.25,138,Apr,2018,50,6.49,Kolkata,WB02,16
Honda,City i VTEC VX,Comprehensive,Petrol,5,"49,000",First Owner,1497,Manual,2017,17.4,117.3,145,Apr,2017,60,7.24,Kolkata,WB02,15
Honda,City i VTEC V,Comprehensive,Petrol,5,"54,000",First Owner,1497,Manual,2015,17.8,117.3,145,Sept,2015,75,4.78,Kolkata,WB02,15
Ford,Figo Diesel ZXI,Third Party insurance,Diesel,5,"60,000",Third Owner,1399,Manual,2010,20,68,160,,,75,1.05,Kolkata,,14
Honda,City 1.5 V MT,Third Party,Petrol,5,"60,000",Fourth Owner,1497,Manual,2010,17,"118PS at 6,600 ",146Nm at 4800 r,,,75,2.6,Kolkata,,15
Honda,Brio S MT,Comprehensive,Petrol,5,"20,000",First Owner,1198,Manual,2014,19.4,86.8,109,,,75,3.0,Kolkata,,
Maruti,Swift ZXi BSIV,Third Party insurance,Petrol,5,"60,000",First Owner,1197,Manual,2010,16.1,,113,,,75,2.1,Kolkata,,14
Hyundai,i10 Magna 1.2,Third Party,Petrol,5,"17,667",Second Owner,1197,Manual,2010,20.36,78.9,111.7,Jun,2010,75,1.66,Kolkata,WB06,13
Hyundai,i20 1.2 Magna Executive,Comprehensive,Petrol,5,"40,782",First Owner,1197,Manual,2018,18.6,81.83,114.7,Jun,2018,50,5.47,Kolkata,WB02,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"5,533",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.56,Kolkata,WB10,
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"9,190",Second Owner,998,Manual,2020,21.7,65.71,89,Jun,2020,30,4.43,Kolkata,WB24,
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"33,173",Second Owner,998,Manual,2014,20.51,67.04,90,Jun,2014,75,2.87,Kolkata,WB08,
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"64,740",First Owner,1197,Manual,2016,18.9,82,114,Jun,2016,70,3.46,Kolkata,WB02,
Hyundai,Grand i10 Sportz,Third Party,Petrol,5,"23,527",Second Owner,1197,Manual,2015,18.9,82,114,Jun,2015,75,3.5,Kolkata,WB02,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"37,210",First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.07,Kolkata,WB08,
Maruti,Wagon R LXI,Comprehensive,Petrol,5,"22,228",First Owner,998,Manual,2021,21.79,67.05,90,Jun,2021,20,5.34,Kolkata,WB26,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"26,855",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.67,Kolkata,WB98,
Mahindra,Bolero B6 Opt,Comprehensive,Diesel,7,"30,000",First Owner,1493,Manual,2020,16,74.96,210,Aug,2020,30,8.39,Kolkata,WB02,
Honda,Mobilio V i-VTEC,Third Party insurance,Petrol,7,"1,20,000",Second Owner,1497,Manual,2014,17.3,117.3,145,,,75,3.8,Kolkata,,15
Maruti,Ciaz Alpha BSIV,Comprehensive,Petrol,5,"35,000",First Owner,1462,Manual,2019,21.56,103.25,138,Oct,2019,40,7.55,Kolkata,WB12,16
Tata,Nexon 1.2 Revotron XZ Plus,Available,Petrol,5,"16,000",First Owner,1198,Manual,2019,17,108.5,170,,,40,6.5,Kolkata,,16
Maruti,Swift 1.3 VXi,Third Party insurance,Petrol,5,"50,000",Second Owner,1298,Manual,2009,16.1,8,11,,,75,1.8,Kolkata,,14
Mahindra,XUV500 W8 4WD,Third Party insurance,Diesel,7,"60,000",Third Owner,2179,Manual,2012,15.1,140,330,,,75,4.0,Kolkata,,17
Honda,City 1.5 V MT Sunroof,Comprehensive,Petrol,5,"45,166",First Owner,1497,Manual,2013,16.8,116.3,146,Mar,2013,75,4.15,Kolkata,WB02,15
Maruti,Ciaz Alpha BSIV,Third Party insurance,Petrol,5,"20,000",First Owner,1462,Manual,2018,21.56,103.25,138,,,50,7.0,Kolkata,,16
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"29,001",Second Owner,796,Manual,2019,22.05,47.33,69,Jun,2019,40,3.17,Kolkata,WB26,
Maruti,Wagon R LX Minor,Third Party,Petrol,5,"41,029",Second Owner,998,Manual,2013,18.9,67.1,90,Jun,2013,75,2.14,Kolkata,WB02,14
Honda,WR-V i-VTEC VX,Comprehensive,Petrol,5,"33,826",First Owner,1199,Manual,2018,17.5,88.7,110,Sept,2018,50,6.38,Kolkata,WB26,16
Maruti,Wagon R AMT VXI Option,Comprehensive,Petrol,5,"64,057",First Owner,998,Automatic,2018,20.51,67,90,Jun,2018,50,4.26,Kolkata,WB10,
Mahindra,Scorpio S11,Comprehensive,Diesel,7,"24,366",Second Owner,2179,Manual,2020,15.4,136.78,319,Jan,2021,30,14.81,Kolkata,WB32,R17
Honda,WR-V i-VTEC S,Comprehensive,Petrol,5,"34,829",First Owner,1199,Manual,2020,17.5,88.7,110,Jun,2020,30,7.56,Kolkata,WB02,16
Mahindra,XUV300 W8,Third Party,Petrol,5,"5,467",First Owner,1197,Manual,2022,16.82,108.62,200,Jun,2022,15,10.27,Kolkata,WB06,16
Honda,Jazz 1.5 V i DTEC,Third Party,Diesel,5,"65,950",First Owner,1498,Manual,2017,27.3,98.6,200,Jun,2017,60,4.39,Kolkata,WB02,15
Maruti,Wagon R VXI Optional,Third Party,Petrol,5,"49,606",First Owner,998,Manual,2018,20.51,67.04,90,Jun,2018,50,4.18,Kolkata,WB12,
Maruti,Wagon R VXI,Third Party,Petrol,5,"19,002",First Owner,998,Manual,2020,21.79,67.05,90,Jun,2020,30,5.06,Kolkata,WB24,
Maruti,Wagon R VXI 1.2 BSIV,Comprehensive,Petrol,5,"14,228",Second Owner,1197,Manual,2019,21.5,81.80,113,Jun,2019,40,5.08,Kolkata,WB82,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"6,156",Third Owner,796,Manual,2019,22.05,47.33,69,Jun,2019,40,3.31,Kolkata,WB24,
Hyundai,Santro Xing GL,Third Party insurance,Petrol,5,"78,594",First Owner,1086,Manual,2008,,62,96.1,,,75,1.2,Kolkata,,13
Hyundai,Grand i10 Asta,Comprehensive,Petrol,5,"40,000",First Owner,1197,Manual,2015,18.9,82,114,Feb,2015,75,3.25,Kolkata,WB02,14
Hyundai,Santro Xing XG eRLX Euro III,Third Party insurance,Petrol,5,"70,000",Second Owner,1086,Manual,2006,17,,,,,75,0.7,Kolkata,,13
Maruti,Ertiga BSIV ZXI Plus,Comprehensive,Petrol,7,"27,100",First Owner,1373,Manual,2019,17.5,91.1,130,Apr,2019,40,8.7,Kolkata,WV06,15
Kia,Seltos GTX Option,Comprehensive,Petrol,5,"18,000",First Owner,1353,Manual,2022,16.5,138.08,242,Jan,2022,15,14.69,Kolkata,WB26,17
Hyundai,Verna 1.6 VTVT S,Individual,Petrol,5,"12,100",First Owner,1591,Manual,2017,17.01,121.3,154.9,,,60,5.8,Kolkata,,
Maruti,Omni E 8 Str STD,Third Party insurance,Petrol,0,"70,000",First Owner,,Manual,2009,19.7,,,,,75,1.2,Kolkata,N/A,12
Volkswagen,Polo Petrol Trendline 1.2L,Third Party insurance,Petrol,5,"48,000",Second Owner,1198,Manual,2013,16.47,73.9,110,,,75,2.1,Kolkata,,14
Hyundai,Verna 1.6 SX VTVT AT,Third Party,Petrol,5,"63,444",First Owner,1591,Automatic,2013,15.74,121.3,154.9,Jun,2013,75,4.86,Kolkata,WB08,16
Maruti,Swift Dzire VXi,Comprehensive,Petrol,5,"46,055",Second Owner,1298,Manual,2012,17.5,85.8,114,Jun,2012,75,2.98,Kolkata,WB24,14
Maruti,Wagon R VXI,Third Party,Petrol,5,"18,843",First Owner,998,Manual,2019,21.79,67.05,90,Jun,2019,40,5.01,Kolkata,WB24,
Hyundai,Grand i10 Nios AMT Sportz,Comprehensive,Petrol,5,"25,911",Second Owner,1197,Automatic,2019,20.7,81.86,113.8,Jun,2019,40,6.5,Kolkata,WB20,14
Hyundai,Creta 1.6 VTVT S,Third Party,Petrol,5,"70,714",Second Owner,1591,Manual,2016,15.29,121.3,151,Jun,2016,70,6.57,Kolkata,WB12,
Hyundai,Creta 1.6 CRDi SX,Third Party,Diesel,5,"82,176",First Owner,1582,Manual,2016,19.67,126.2,259.9,Jun,2016,70,7.32,Kolkata,WB02,16
Maruti,Ertiga VXI,Comprehensive,Petrol,7,"70,053",First Owner,1373,Manual,2013,16.02,93.7,130,Sept,2013,75,4.63,Kolkata,WB02,
Hyundai,i20 Active 1.2 S,Third Party,Petrol,5,"17,375",First Owner,1197,Manual,2017,17.19,81.86,114.73,Jun,2017,60,5.94,Kolkata,WB06,16
Honda,City i VTEC V,Comprehensive,Petrol,5,"29,629",Second Owner,1497,Manual,2017,17.8,117.3,145,Jun,2017,60,6.16,Kolkata,WB02,15
Honda,City V MT,Third Party,Petrol,5,"20,355",First Owner,1497,Manual,2019,17.4,117.60,145,Jun,2019,40,7.93,Kolkata,WB02,15
Hyundai,Verna VTVT 1.4 E,Comprehensive,Petrol,5,"31,530",First Owner,1368,Manual,2018,19.1,98.6,132.38,Jun,2018,50,6.44,Kolkata,WB02,
Hyundai,i20 Asta Option 1.2,Third Party,Petrol,5,"32,195",Second Owner,1197,Manual,2017,18.6,81.83,114.7,Jun,2017,60,5.67,Kolkata,WB08,16
Tata,Indica Quadrajet VX,Third Party insurance,Diesel,5,"50,000",First Owner,1248,Manual,2013,22.3,74,190,,,75,2.2,Kolkata,,14
Volkswagen,Polo 1.2 MPI Comfortline,Comprehensive,Petrol,5,"39,000",First Owner,1199,Manual,2015,16.2,74,110,Jun,2015,75,2.75,Kolkata,WB02,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"29,204",First Owner,1197,Manual,2019,18.9,81.86,113.75,Jan,2019,40,4.65,Kolkata,WB20,
Maruti,Vitara Brezza ZDi,Third Party insurance,Diesel,5,"90,000",First Owner,1248,Manual,2018,24.3,88.5,200,,,50,6.8,Kolkata,,16
Hyundai,Grand i10 1.2 Kappa Asta,Third Party insurance,Petrol,5,"10,000",First Owner,1197,Manual,2018,18.9,81.86,113.75,,,50,4.1,Kolkata,,14
Datsun,RediGO 1.0 S,Third Party insurance,Petrol,5,"20,000",First Owner,999,Manual,2019,22.5,67,91,,,40,2.1,Kolkata,,
Honda,Brio S MT,Comprehensive,Petrol,5,"47,000",First Owner,1198,Manual,2012,19.4,86.8,109,Aug,2012,75,2.3,Kolkata,WB02,
Volkswagen,Polo 1.2 MPI Comfortline,Comprehensive,Petrol,5,"50,000",First Owner,1198,Manual,2014,16.47,74,110,Nov,2014,75,2.95,Kolkata,WB06,
Volkswagen,Vento Diesel Highline,Third Party,Diesel,5,"50,346",Second Owner,1598,Manual,2013,20.54,103.6,250,Jun,2013,75,2.69,Kolkata,WB02,15
Hyundai,Verna VTVT 1.6 SX Option,Third Party,Petrol,5,"57,439",First Owner,1591,Manual,2018,17,121.3,151,Jun,2018,50,6.95,Kolkata,WB08,16
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"18,896",First Owner,1197,Manual,2018,18.9,81.86,113.75,Oct,2018,50,4.59,Kolkata,WB24,
Honda,City i VTEC SV,Comprehensive,Petrol,5,"29,856",First Owner,1497,Manual,2014,17.4,117.3,145,Jun,2014,75,4.22,Kolkata,WB02,
Volkswagen,Polo 1.2 MPI Highline,Third Party,Petrol,5,"77,115",First Owner,1198,Manual,2015,16.47,74,110,Jun,2015,75,3.94,Kolkata,WB02,15
Maruti,Swift Dzire VXI 1.2,Comprehensive,Petrol,5,"50,597",First Owner,1197,Manual,2018,21.21,81.80,113,Jun,2018,50,5.62,Kolkata,WB02,
Hyundai,Verna VTVT 1.6 SX,Third Party,Petrol,5,"33,831",First Owner,1591,Manual,2018,17,121.3,151,Jun,2018,50,7.47,Kolkata,WB08,16
Maruti,Ciaz Alpha,Comprehensive,Petrol,5,"43,349",First Owner,1462,Manual,2020,20.65,103.25,138,Mar,2020,30,7.51,Kolkata,WB90,16
Hyundai,Grand i10 Magna,Third Party,Petrol,5,"67,585",First Owner,1197,Manual,2016,18.9,82,114,Jun,2016,70,3.71,Kolkata,WB02,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"17,457",First Owner,1197,Manual,2018,18.9,81.86,113.75,Jun,2018,50,4.17,Kolkata,WB02,
Maruti,Vitara Brezza VDi Option,Third Party,Diesel,5,"37,996",First Owner,1248,Manual,2017,24.3,88.5,200,Jun,2017,60,6.15,Kolkata,WB18,
Tata,Tigor XE,Third Party,Petrol,5,"2,933",First Owner,1199,Manual,2021,19.28,84.82,113,Jun,2021,20,5.79,Kolkata,WB24,
Chevrolet,Beat LS,Third Party,Petrol,5,"35,000",Second Owner,1199,Manual,2011,18.6,79.4,108,,,75,1.35,Kolkata,,14
MG,Hector Hybrid Sharp MT BSIV,Third Party insurance,Petrol,5,"20,000",First Owner,1451,Manual,2019,15.81,141,250,,,40,12.0,Kolkata,,R17
Maruti,Ritz LXI,Not Available,Petrol,5,"61,217",First Owner,1197,Manual,2009,21.1,85.80,114,Dec,2009,75,1.0,Kolkata,WB06,14
Hyundai,Santro Xing GL,Third Party insurance,Petrol,5,"30,000",First Owner,1086,Manual,2008,,62,96.1,,,75,1.2,Kolkata,,13
Toyota,Etios Liva GD,Third Party insurance,Diesel,5,"1,00,000",Second Owner,1364,Manual,2013,23.59,67.06,170,,,75,2.7,Kolkata,,14
Mahindra,Scorpio Getaway 4WD,Third Party insurance,Diesel,5,"40,000",First Owner,2179,Manual,2015,9,120,280,,,75,7.0,Kolkata,,
Mahindra,TUV 300 T6 Plus,Third Party insurance,Diesel,7,"15,000",First Owner,1493,Manual,2015,18.49,100,240,,,75,6.0,Kolkata,,
Mahindra,XUV300 W8,Third Party,Petrol,5,"10,000",First Owner,1197,Manual,2021,16.82,108.62,200,,,20,9.1,Kolkata,,16
Honda,City VX CVT,Comprehensive,Petrol,5,"5,670",First Owner,1498,Automatic,2021,18.3,119.35,145,Jul,2021,20,12.39,Kolkata,WB02,16
Maruti,Baleno 1.2 Delta,Third Party insurance,Petrol,5,"33,172",Second Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,5.56,Kolkata,WB02,
Maruti,Baleno Zeta,Third Party,Petrol,5,"7,989",First Owner,1197,Manual,2021,21.01,81.80,113,Jun,2021,20,7.02,Kolkata,WB02,R16
Hyundai,Grand i10 Sportz,Third Party,Petrol,5,"30,183",First Owner,1197,Manual,2016,18.9,82,114,Jun,2016,70,3.8,Kolkata,WB08,
Hyundai,i20 1.2 Magna Executive,Comprehensive,Petrol,5,"23,928",First Owner,1197,Manual,2018,18.6,81.83,114.7,Jun,2018,50,5.15,Kolkata,WB06,
Honda,City i VTEC SV,Comprehensive,Petrol,5,"80,606",First Owner,1497,Manual,2015,17.4,117.3,145,Jun,2015,75,4.35,Kolkata,WB02,
Mahindra,XUV500 W7 BSIV,Comprehensive,Diesel,7,"27,396",First Owner,2179,Manual,2018,15.1,152.87,360,Jun,2018,50,10.3,Kolkata,WB10,
Hyundai,Verna VTVT 1.6 AT SX Option,Comprehensive,Petrol,5,"12,158",First Owner,1591,Automatic,2017,17,121.3,151,Jun,2017,60,8.26,Kolkata,WB08,16
Maruti,Alto K10 VXI AGS Optional,Comprehensive,Petrol,5,"29,489",Second Owner,998,Automatic,2018,23.95,67.1,90,Jun,2018,50,3.58,Kolkata,WB24,
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"46,141",First Owner,1197,Manual,2019,21.4,83.1,115,Jun,2019,40,5.68,Kolkata,WB02,
Tata,Altroz XM plus,Third Party,Petrol,5,"3,520",First Owner,1199,Manual,2022,19.33,86.83,113,Jun,2022,15,7.11,Kolkata,WB24,
Tata,Nexon XZ Plus HS Diesel,Third Party insurance,Diesel,5,"5,000",First Owner,1497,Manual,2022,21.19,108.49,260,,,15,12.25,Kolkata,,16
Maruti,Alto LXi,Third Party insurance,Petrol,5,"50,000",First Owner,796,Manual,2012,19.7,46.3,62,,,75,1.6,Kolkata,,12
Maruti,Celerio VXI AT,Third Party insurance,Petrol,5,"40,000",Second Owner,998,Automatic,2014,23.1,67.04,90,,,75,3.0,Kolkata,,
Maruti,SX4 S Cross DDiS 200 Zeta,Third Party insurance,Diesel,5,"80,000",Second Owner,1248,Manual,2015,23.65,88.5,200,,,75,5.25,Kolkata,,16
Mercedes-Benz,C-Class 220 CDI AT,Third Party insurance,Diesel,5,"49,000",Second Owner,2143,Automatic,2010,14.84,170,400,,,75,4.5,Kolkata,N/A,16
Skoda,New Laura Elegance MT,Third Party insurance,Diesel,5,"1,40,000",Fourth Owner,1896,Manual,2010,17.5,,25,,,75,2.45,Kolkata,,16
Hyundai,Xcent 1.1 CRDi S,Comprehensive,Diesel,5,"53,000",First Owner,1120,Manual,2014,24.4,71,180.4,Jun,2014,75,2.69,Kolkata,WB16,
Mahindra,TUV 300 T10 AMT Dual Tone,Available,Diesel,7,"1,20,000",First Owner,1493,Automatic,2019,18.49,100,240,,,40,8.7,Kolkata,,15
Maruti,XL6 Alpha,Comprehensive,Petrol,6,"40,818",First Owner,1462,Manual,2021,19.01,103.2,138,Jun,2021,20,9.31,Kolkata,WB30,R15
Honda,Jazz 1.2 SV i VTEC,Third Party,Petrol,5,"48,302",First Owner,1199,Manual,2015,18.7,88.7,110,Jun,2015,75,3.98,Kolkata,WB02,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party,Petrol,5,"33,583",First Owner,1197,Manual,2019,18.9,81.86,113.75,Jun,2019,40,4.91,Kolkata,WB02,
Maruti,SX4 S Cross Zeta,Third Party,Petrol,5,"33,524",First Owner,1462,Manual,2020,18.55,103.25,138,Jun,2020,30,8.12,Kolkata,WB08,16
Hyundai,Venue SX Turbo,Third Party,Petrol,5,"24,023",First Owner,998,Manual,2021,18.27,118.35,172,Jun,2021,20,9.23,Kolkata,WB18,
Honda,WR-V i-VTEC VX,Comprehensive,Petrol,5,"28,303",First Owner,1199,Manual,2019,17.5,88.7,110,Jun,2019,40,6.89,Kolkata,WB02,16
Ford,Ecosport 1.5 TDCi Titanium Plus BSIV,Comprehensive,Diesel,5,"69,224",First Owner,1498,Manual,2017,22.77,98.59,205,Jun,2017,60,6.25,Kolkata,WB26,16
Skoda,Rapid 1.0 TSI Style,Third Party,Petrol,5,"20,786",Second Owner,999,Manual,2020,18.97,108.62,175,Jun,2020,30,8.18,Kolkata,WB02,R16
Honda,WR-V i-DTEC S,Third Party,Diesel,5,"97,986",First Owner,1498,Manual,2018,25.5,98.6,200,Jun,2018,50,4.99,Kolkata,WB20,16
Hyundai,i20 Petrol Magna,Comprehensive,Petrol,5,"18,704",Second Owner,1197,Manual,2019,18.6,81.86,114.73,Jun,2019,40,5.49,Kolkata,WB02,
Mahindra,XUV500 W8 2WD,Third Party,Diesel,7,"68,488",Second Owner,2179,Manual,2016,16,140,330,Jun,2016,70,8.1,Kolkata,WB26,17
Tata,Altroz XT,Comprehensive,Petrol,5,"24,106",First Owner,1199,Manual,2021,19.33,86.83,113,Jun,2021,20,6.59,Kolkata,WB08,
Maruti,Wagon R VXI Optional,Third Party insurance,Petrol,5,"57,430",First Owner,998,Manual,2016,20.51,67.04,90,,,70,2.77,Kolkata,,
Maruti,Zen VXI,Third Party insurance,Petrol,5,"70,000",First Owner,993,Manual,2003,17.3,60,78 ,,,75,0.5,Kolkata,,12
Mahindra,Verito Vibe 1.5 dCi D4,Third Party insurance,Diesel,5,"40,000",First Owner,1461,Manual,2018,20.8,64.1,160,,,50,3.4,Kolkata,,
Maruti,Swift Dzire VXi,Third Party insurance,Petrol,5,"72,850",First Owner,1298,Manual,2012,17.5,85.8,114,,,75,2.99,Kolkata,,14
Honda,City i VTEC SV,Individual,Petrol,5,"50,000",First Owner,1497,Manual,2014,17.4,117.3,145,,,75,3.75,Kolkata,N/A,
Maruti,Swift Dzire Vdi BSIV,Third Party insurance,Diesel,5,"30,000",First Owner,1248,Manual,2012,19.3,73.9,190,,,75,3.0,Kolkata,,14
Renault,Triber RXZ,Comprehensive,Petrol,7,"1,00,000",First Owner,999,Manual,2021,20,71.01,96,,,20,6.4,Kolkata,,
Maruti,SX4 Vxi BSIV,Third Party insurance,Petrol,5,"80,000",Third Owner,1586,Manual,2010,15.5,103.3,145,,,75,2.0,Kolkata,,15
Tata,Altroz XZ,Third Party,Petrol,5,"9,288",First Owner,1199,Manual,2021,19.33,86.83,113,Jun,2021,20,6.95,Kolkata,WB84,16
Honda,Amaze SX i-DTEC,Third Party,Diesel,5,"98,378",First Owner,1498,Manual,2016,25.8,98.6,200,Jun,2016,70,3.69,Kolkata,WB02,
Ford,Ecosport 1.0 Ecoboost Titanium,Comprehensive,Petrol,5,"75,603",First Owner,999,Manual,2014,18.88,123.37,170,Jun,2014,75,5.19,Kolkata,WB20,16
Ford,Ecosport 1.5 DV5 MT Trend,Third Party,Diesel,5,"74,324",First Owner,1498,Manual,2014,22.7,89.84,204,Jun,2014,75,4.34,Kolkata,WB02,
Maruti,Baleno 1.2 Alpha,Third Party,Petrol,5,"74,861",Second Owner,1197,Manual,2017,21.4,83.1,115,Jun,2017,60,5.51,Kolkata,WB06,16
Tata,New Safari XZ Plus,Comprehensive,Diesel,7,"16,566",First Owner,1956,Manual,2021,16.14,167.67,350,May,2021,20,17.47,Kolkata,WB08,18
Honda,WR-V i-VTEC VX,Comprehensive,Petrol,5,"75,131",First Owner,1199,Manual,2017,17.5,88.7,110,Jun,2017,60,5.78,Kolkata,WB02,16
Hyundai,i10 Magna,Third Party,Petrol,5,"76,351",Second Owner,1197,Manual,2010,20.36,78.9,111.7,Jun,2010,75,1.83,Kolkata,WB12,13
Skoda,Rapid 1.6 MPI Active BSIV,Third Party,Petrol,5,"41,102",First Owner,1598,Manual,2019,15.41,103.2,153,Jun,2019,40,6.74,Kolkata,WB02,
Maruti,Swift VXI,Third Party,Petrol,5,"26,325",First Owner,1197,Manual,2016,21.21,81.80,113,Jun,2016,70,4.25,Kolkata,WB16,
Maruti,Celerio ZXI AT,Comprehensive,Petrol,5,"9,475",First Owner,998,Automatic,2017,23.1,67.04,90,Jun,2017,60,4.09,Kolkata,WB20,
Maruti,Alto K10 LXI,Comprehensive,Petrol,5,"15,168",First Owner,998,Manual,2016,23.95,67.05,90,Jun,2016,70,2.63,Kolkata,WB20,
Maruti,Alto LX,Third Party insurance,Petrol,5,"60,000",First Owner,796,Manual,2003,19.7,46.3,62,,,75,0.55,Kolkata,,12
Maruti,Swift VXI BSIII,Third Party insurance,Petrol,5,"50,000",First Owner,1298,Manual,2009,16.1,8,11,,,75,1.5,Kolkata,,14
Audi,A4 1.8 TFSI,Third Party insurance,Petrol,5,"35,000",First Owner,1798,Automatic,2013,15.64,167.62,320,,,75,8.5,Kolkata,,16
Maruti,Alto LXi BSIII,Third Party insurance,Petrol,5,"90,000",Second Owner,796,Manual,2010,19.7,46.3,62,,,75,1.3,Kolkata,,12
Datsun,GO Plus T BSIV,Third Party insurance,Petrol,7,"20,000",First Owner,1198,Manual,2016,19.44,67,104,,,70,2.21,Kolkata,,
Maruti,Wagon R Stingray AMT VXI,Third Party insurance,Petrol,5,"90,000",First Owner,998,Automatic,2016,20.51,67.04,90,,,70,3.65,Kolkata,,14
Audi,A6 2.8 FSI,Third Party insurance,Petrol,5,"1,10,000",First Owner,2773,Automatic,2011,10.4,201,280,,,75,4.8,Kolkata,N/A,17
Maruti,Ritz ZXi,Third Party insurance,Petrol,5,"25,000",Second Owner,1197,Manual,2009,18.5,85.80,114,,,75,1.5,Kolkata,,14
Maruti,Alto K10 LXI,Comprehensive,Petrol,5,"5,175",First Owner,998,Manual,2013,20.92,67.1,90,Jun,2013,75,2.01,Kolkata,WB24,13
Maruti,Alto 800 LXI,Third Party,Petrol,5,"10,225",Second Owner,796,Manual,2019,22.05,47.33,69,Jun,2019,40,2.88,Kolkata,WB10,
Maruti,Alto K10 LXI,Comprehensive,Petrol,5,"27,909",First Owner,998,Manual,2011,20.92,67.1,90,Jun,2011,75,1.85,Kolkata,WB24,13
Maruti,Wagon R ZXI 1.2,Comprehensive,Petrol,5,"12,810",First Owner,1197,Manual,2020,20.52,81.80,113,Jun,2020,30,5.59,Kolkata,WB30,
Hyundai,Creta 1.6 VTVT S,Third Party,Petrol,5,"47,849",Second Owner,1591,Manual,2019,15.29,121.3,151,Jun,2019,40,9.26,Kolkata,WB50,
Hyundai,i20 Asta 1.4 CRDi,Comprehensive,Diesel,5,"82,640",First Owner,1396,Manual,2014,22.54,88.73,219.7,Jun,2014,75,4.7,Kolkata,WB02,16
Maruti,SX4 S Cross Alpha,Comprehensive,Petrol,5,"6,792",First Owner,1462,Manual,2020,18.55,103.25,138,Sept,2020,30,9.73,Kolkata,WB02,16
Honda,CR-V 2.0L 2WD AT,Third Party,Petrol,5,"47,815",First Owner,1997,Automatic,2015,13.7,153.86,190,Jun,2015,75,9.72,Kolkata,WB02,17
Mahindra,XUV500 W7 BSIV,Comprehensive,Diesel,7,"27,198",First Owner,2179,Manual,2019,15.1,152.87,360,Jun,2019,40,10.83,Kolkata,WB30,
Mahindra,Thar LX 4-Str Hard Top,Comprehensive,Petrol,4,"5,857",First Owner,1997,Manual,2022,15.2,150,300,Apr,2022,15,13.67,Kolkata,WB08,18
Maruti,Baleno Zeta,Comprehensive,Petrol,5,"8,233",First Owner,1197,Manual,2020,21.01,81.80,113,Jun,2020,30,6.94,Kolkata,WB08,R16
Maruti,Swift Dzire VXI 1.2,Third Party,Petrol,5,"27,476",First Owner,1197,Manual,2018,21.21,81.80,113,Jun,2018,50,5.37,Kolkata,WB02,
Hyundai,Verna 1.6 SX,Third Party insurance,Diesel,5,"1,20,000",Second Owner,1582,Manual,2012,22.32,126.32,259.8,,,75,4.0,Kolkata,,16
Maruti,Swift Dzire AMT ZXI BS IV,Third Party insurance,Petrol,5,"30,000",Second Owner,1197,Automatic,2019,22,81.80,113,,,40,5.5,Kolkata,,15
