Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Hyundai,EON D Lite Plus,Comprehensive,Petrol,5,"13,195",First Owner,814,Manual,2012,21.1,55.2,74.5,,,75,2.35,Kolkata,,
Maruti,Swift VXI,Third Party insurance,Petrol,5,"5,000",First Owner,1197,Manual,2022,22.38,88.50,113,,,15,6.9,Kolkata,,
Hyundai,i10 Magna 1.1 iTech SE,Third Party insurance,Petrol,5,"30,000",First Owner,1086,Manual,2014,19.81,68.05,99.04,,,75,2.41,Kolkata,,
Maruti,Celerio LXI,Third Party insurance,Petrol,5,"25,000",First Owner,998,Manual,2017,23.1,67.04,90,,,60,4.0,Kolkata,,
Hyundai,Grand i10 Asta,Comprehensive,Petrol,5,"10,000",Second Owner,1197,Manual,2015,18.9,82,114,,,75,3.85,Kolkata,,14
Maruti,Baleno 1.2 Alpha,Comprehensive,Petrol,5,"29,401",First Owner,1197,Manual,2017,21.4,83.1,115,Jun,2017,60,5.25,Kolkata,WB02,16
Hyundai,Santro Sportz,Comprehensive,Petrol,5,"11,984",First Owner,1086,Manual,2020,20.3,68.05,99,Jun,2020,30,5.11,Kolkata,WB26,
Hyundai,Xcent 1.2 VTVT SX,Comprehensive,Petrol,5,"55,962",First Owner,1197,Manual,2018,20.14,81.86,113.75,Jun,2018,50,5.09,Kolkata,WB20,14
Maruti,Ciaz Delta BSIV,Third Party,Petrol,5,"37,713",First Owner,1462,Manual,2018,21.56,103.25,138,Jun,2018,50,6.91,Kolkata,WB18,15
Maruti,Celerio ZXI,Comprehensive,Petrol,5,"38,371",Second Owner,998,Manual,2014,23.1,67.04,90,Jun,2014,75,3.05,Kolkata,WB24,
Maruti,Vitara Brezza ZDi AMT,Comprehensive,Diesel,5,"89,535",First Owner,1248,Automatic,2019,24.3,88.5,200,Jun,2019,40,7.29,Kolkata,WB02,16
Hyundai,i20 Asta 1.2,Third Party,Petrol,5,"53,890",First Owner,1197,Manual,2015,18.6,81.83,114.7,Jun,2015,75,4.73,Kolkata,WB02,16
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"28,722",First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,5.95,Kolkata,WB02,16
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"24,264",Second Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,6.31,Kolkata,WB02,16
Honda,City V MT,Comprehensive,Petrol,5,"31,778",First Owner,1497,Manual,2018,17.4,117.60,145,Jun,2018,50,7.01,Kolkata,WB02,15
Honda,City V MT,Third Party,Petrol,5,"44,425",First Owner,1497,Manual,2019,17.4,117.60,145,Jun,2019,40,8.18,Kolkata,WB06,15
Maruti,S-Presso VXI Opt 2019-2022,Third Party,Petrol,5,"31,305",First Owner,998,Manual,2020,21.7,67.05,90,Jun,2020,30,4.3,Kolkata,WB08,
Maruti,Swift VXI,Third Party,Petrol,5,"76,175",First Owner,1197,Manual,2015,21.21,81.80,113,Jun,2015,75,3.96,Kolkata,WB24,
Maruti,Swift Dzire ZXI 1.2,Third Party insurance,Petrol,5,"25,000",Second Owner,1197,Manual,2017,21.21,81.80,113,,,60,5.0,Kolkata,,15
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"29,178",First Owner,796,Manual,2017,24.7,47.3,69,Oct,2017,60,2.6,Kolkata,WB08,
