Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
Maruti,Ciaz S,Comprehensive,Petrol,5,"27,476",TS15,First Owner,1462,Manual,2021,103.25,138,16,Jun,2021,20,10.85,Bangalore,20.65
Maruti,Ciaz 1.3 Zeta,Third Party,Diesel,5,"43,591",TS07,Second Owner,1248,Manual,2018,88.5,200,15,Jun,2018,50,8.18,Bangalore,28.09
Ford,Ecosport 1.5 Diesel Titanium BSIV,Third Party insurance,Diesel,5,"51,000",TS07,First Owner,1498,Manual,2017,98.96,205,16,Jul,2017,60,7.85,Bangalore,23
Mercedes-Benz,C-Class Coupe C43 AMG,Third Party insurance,Petrol,4,"6,000",TS09,First Owner,2996,Automatic,2021,384.87,520,18,Oct,2021,20,87.0,Bangalore,11.9
Datsun,RediGO T,Third Party insurance,Petrol,5,"55,500",,Third Owner,799,Manual,2017,53.64,72,,,,60,2.35,Bangalore,22.7
Volkswagen,Vento Diesel Highline,Available,Diesel,5,"1,20,000",,Second Owner,1598,Manual,2011,103.6,250,15,,,75,3.2,Bangalore,20.54
Ford,Fiesta 1.4 Duratec EXI Limited Edition,Third Party insurance,Petrol,5,"90,000",,Second Owner,1388,Manual,2010,,16,14,,,75,1.4,Bangalore,16.6
Maruti,Wagon R LX BS IV,Individual,Petrol,5,"60,000",,Second Owner,998,Manual,2013,67.04,90,,,,75,3.2,Bangalore,20.51
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party insurance,Petrol,5,"50,000",,Second Owner,1197,Manual,2018,81.86,113.75,,,,50,4.7,Bangalore,18.9
Tata,Tiago 1.2 Revotron XZA,Third Party,Petrol,5,"97,843",TS08,First Owner,1199,Automatic,2018,83.83,114,14,Jun,2018,50,5.9,Bangalore,23.84
Maruti,Celerio ZXI AMT BSIV,Third Party,Petrol,5,"65,186",TS15,First Owner,998,Automatic,2017,67.04,90,,Jun,2017,60,4.7,Bangalore,23.1
Maruti,Swift Dzire AMT ZDI,Comprehensive,Diesel,5,"75,296",TS08,First Owner,1248,Automatic,2018,74.02,190,15,Jun,2018,50,8.58,Bangalore,28.4
Maruti,Alto 800 LXI,Third Party,Petrol,5,"6,433",TS08,First Owner,796,Manual,2020,47.33,69,,Jun,2020,30,3.74,Bangalore,22.05
Volkswagen,Vento 1.0 TSI Highline Plus AT,Third Party,Petrol,5,"8,363",TS09,First Owner,999,Automatic,2021,108.62,175,16,Jun,2021,20,12.86,Bangalore,16.35
Tata,Nexon XZ Plus,Third Party,Petrol,5,"32,750",TS04,First Owner,1199,Manual,2021,118.35,170,16,Jun,2021,20,11.38,Bangalore,17.33
Toyota,Yaris J CVT BSIV,Third Party,Petrol,5,"92,402",TS07,First Owner,1496,Automatic,2018,105.5,140,,Jun,2018,50,9.04,Bangalore,17.8
Tata,Nexon 1.2 Revotron XZA Plus,Third Party,Petrol,5,"69,776",TS07,First Owner,1198,Automatic,2018,108.5,170,16,Jun,2018,50,9.08,Bangalore,17
Volkswagen,Polo GT 1.0 TSI,Third Party,Petrol,5,"26,651",TS08,First Owner,999,Automatic,2021,108.62,175,R16,Jun,2021,20,9.7,Bangalore,16.47
Maruti,Wagon R VXI Plus,Third Party,Petrol,5,"63,489",TS08,Second Owner,998,Manual,2018,67.04,90,,Jun,2018,50,4.6,Bangalore,20.51
Hyundai,Verna 1.6 SX CRDI (O) AT,Third Party insurance,Diesel,5,"96,000",TS10,First Owner,1582,Automatic,2014,126.32,259.8,16,Sept,2014,75,6.25,Bangalore,22.32
Ford,Ecosport 1.0 Ecoboost Titanium,Third Party insurance,Petrol,5,"56,500",,First Owner,999,Manual,2014,123.37,170,16,,,75,5.65,Bangalore,18.88
Tata,Nexon 1.5 Revotorq XM,Third Party insurance,Diesel,5,"50,000",,First Owner,1497,Manual,2019,108.5,260,,,,40,7.25,Bangalore,21.5
Maruti,Alto K10 LXI,Third Party insurance,Petrol,5,"40,000",,Second Owner,998,Manual,2012,67.1,90,13,,,75,2.6,Bangalore,20.92
Hyundai,i10 Era,Third Party insurance,Petrol,5,"1,10,000",,Second Owner,1086,Manual,2009,68.05,99.04,,Mar,2009,75,2.1,Bangalore,19.81
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"60,000",,Second Owner,1197,Manual,2008,78.9,111.7,13,,,75,1.77,Bangalore,20.36
Hyundai,Santro Xing XE,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,1086,Manual,2006,,9,13,,,75,1.2,Bangalore,17.8
Maruti,Wagon R ZXI AMT 1.2,Third Party insurance,Petrol,5,"20,000",,First Owner,1197,Automatic,2020,81.80,113,,,,30,6.0,Bangalore,20.52
Tata,Tiago 1.2 Revotron XZA,Comprehensive,Petrol,5,"5,87,000",TS07,Second Owner,1199,Automatic,2018,83.83,114,14,Jun,2018,50,5.87,Bangalore,23.84
Maruti,Baleno Alpha CVT,Third Party,Petrol,5,"13,350",TS08,First Owner,1197,Automatic,2021,81.80,113,R16,Jun,2021,20,9.69,Bangalore,19.56
Renault,KWID Climber 1.0 MT,Third Party,Petrol,5,"40,490",TS08,First Owner,999,Manual,2018,67,91,,Jun,2018,50,3.95,Bangalore,23.01
Tata,Harrier Camo XZ Plus,Third Party,Diesel,5,"19,339",TS07,First Owner,1956,Manual,2021,167.63,350,R17,Jun,2021,20,18.97,Bangalore,17
Honda,WR-V i-DTEC VX,Third Party,Diesel,5,"64,382",TS08,First Owner,1498,Manual,2018,98.6,200,16,Jun,2018,50,8.66,Bangalore,25.5
Renault,Triber RXZ,Third Party,Petrol,7,"33,423",TS11,First Owner,999,Manual,2021,71.01,96,,Jun,2021,20,7.12,Bangalore,20
Honda,Civic VX BSIV,Comprehensive,Petrol,5,"30,942",TS12,First Owner,1799,Automatic,2019,139.46,174,16,Jun,2019,40,15.32,Bangalore,16.5
Honda,Jazz ZX,Third Party,Petrol,5,"23,456",TS04,First Owner,1199,Manual,2021,88.50,110,15,Jun,2021,20,8.56,Bangalore,17.1
Maruti,Alto K10 VXI,Third Party,Petrol,5,"40,869",TS07,First Owner,998,Manual,2019,67.05,90,,Jun,2019,40,4.21,Bangalore,23.95
Honda,Jazz 1.2 E i VTEC,Third Party,Petrol,5,"99,449",TS07,First Owner,1199,Manual,2015,88.7,110,,Jun,2015,75,4.41,Bangalore,18.7
Maruti,Ciaz Zeta,Third Party,Petrol,5,"7,978",TS08,First Owner,1462,Manual,2022,103.25,138,15,Jun,2022,15,10.71,Bangalore,20.65
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,Third Party,Diesel,5,"54,230",TS09,First Owner,1248,Automatic,2019,88.5,200,16,Jun,2019,40,10.89,Bangalore,24.3
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"88,000",AP10,First Owner,1248,Manual,2013,74,190,14,May,2013,75,5.1,Bangalore,23.4
Tata,Bolt Revotron XE,Third Party insurance,Petrol,5,"80,000",,First Owner,1193,Manual,2018,88.7,140,,,,50,3.0,Bangalore,17.57
Hyundai,Grand i10 Sportz,Comprehensive,Petrol,5,"87,000",,Second Owner,1197,Manual,2015,82,114,,,,75,3.84,Bangalore,18.9
Toyota,Innova 2.5 G4 Diesel 8-seater,Third Party insurance,Diesel,8,"90,000",,First Owner,2494,Manual,2007,,20,15,,,75,9.0,Bangalore,12.8
BMW,3 Series 320d Sedan,Third Party insurance,Diesel,5,"51,050",AP09,First Owner,1995,Automatic,2011,181,380,16,Aug,2011,75,10.75,Bangalore,16.07
Volkswagen,Vento 1.6 Highline,Third Party insurance,Petrol,5,"27,000",,First Owner,1598,Manual,2017,103.2,153,15,,,60,8.0,Bangalore,16.09
Tata,Nexon XZA Plus (O) Dark Edition,Third Party,Petrol,5,"34,487",TS07,First Owner,1199,Automatic,2021,118.36,170,16,Jun,2021,20,12.33,Bangalore,16.35
Renault,KWID 1.0 RXT,Third Party,Petrol,5,"44,217",TS11,Second Owner,999,Manual,2019,67.06,91,,Jun,2019,40,4.51,Bangalore,21.46
Maruti,Celerio ZXI Plus,Comprehensive,Petrol,5,"10,405",TS07,First Owner,998,Manual,2022,65.71,89,15,Jun,2022,15,7.54,Bangalore,24.97
