Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
Toyota,Corolla Altis 1.8 J,Third Party,Petrol,5,"80,615",AP10,First Owner,1798,Manual,2012,138,173,15,Jun,2012,75,4.87,Bangalore,14.53
Maruti,Swift Dzire AMT VXI,Third Party,Petrol,5,"62,324",TS08,First Owner,1197,Automatic,2018,81.80,113,,Jun,2018,50,7.2,Bangalore,21.21
Tata,Hexa XT 4X4,Third Party insurance,Diesel,7,"1,10,000",,First Owner,2179,Manual,2017,153.86,400,17,,,60,12.0,Bangalore,17.6
Maruti,Swift ZXI BSIV,Available,Petrol,5,"70,500",,First Owner,1197,Manual,2015,81.80,113,15,,,75,5.15,Bangalore,22
Maruti,Swift VDI,Third Party insurance,Diesel,5,"1,00,000",,Second Owner,1248,Manual,2012,74,190,14,,,75,3.62,Bangalore,22.9
Hyundai,Verna CRDi SX,Third Party insurance,Diesel,5,"80,000",,Second Owner,1493,Manual,2008,,,14,,,75,1.6,Bangalore,16.8
Nissan,Terrano XV Premium 110 PS,Third Party insurance,Diesel,5,"1,20,000",,Second Owner,1461,Manual,2014,108.5,248,16,,,75,4.7,Bangalore,19.01
Mercedes-Benz,M-Class ML 350 4Matic,Third Party insurance,Diesel,5,"1,24,000",AP09,First Owner,2987,Automatic,2011,165 [224] at 3,5,19,Jul,2011,75,18.0,Bangalore,
Hyundai,Santro Xing XO,Third Party insurance,Petrol,5,"90,000",,First Owner,1086,Manual,2007,,,13,,,75,2.0,Bangalore,17
Mahindra,Scorpio VLS AT 2.2 mHAWK,Third Party insurance,Diesel,8,"2,00,000",,Second Owner,2179,Automatic,2012,120,290,16,,,75,4.5,Bangalore,11.79
Maruti,Alto 800 VXI,Third Party,Petrol,5,"49,557",TS05,Second Owner,796,Manual,2014,47.3,69,,Jun,2015,75,2.92,Bangalore,22.74
Maruti,Swift AMT VXI,Comprehensive,Petrol,5,"82,773",TS07,First Owner,1197,Automatic,2018,81.80,113,,Jun,2018,50,6.51,Bangalore,21.21
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"70,998",TS07,First Owner,998,Manual,2016,67.04,90,,Jun,2016,70,4.05,Bangalore,20.51
Hyundai,Creta 1.6 VTVT SX Plus,Comprehensive,Petrol,5,"46,545",TS09,First Owner,1591,Manual,2017,121.3,151,17,Jun,2017,60,10.5,Bangalore,13
Maruti,Alto K10 VXI,Third Party,Petrol,5,"46,556",TS02,Second Owner,998,Manual,2019,67.05,90,,Jun,2019,40,4.09,Bangalore,23.95
Hyundai,i10 Sportz 1.1L,Third Party,Petrol,5,"54,743",TS07,Second Owner,1086,Manual,2015,68.05,99.04,,Jun,2015,75,3.83,Bangalore,19.81
Ford,Freestyle Titanium Petrol BSIV,Third Party,Petrol,5,"53,920",TS10,First Owner,1194,Manual,2019,94.68,120,15,Jun,2019,40,6.21,Bangalore,19
Volkswagen,Polo 1.0 MPI Trendline,Third Party,Petrol,5,"61,142",TS07,Second Owner,999,Manual,2019,75.10,95,,Jun,2019,40,5.69,Bangalore,17.74
Maruti,Wagon R VXI Opt,Third Party,Petrol,5,"52,664",TS07,First Owner,998,Manual,2020,67.05,90,,Jun,2020,30,5.5,Bangalore,21.79
Renault,KWID 1.0 RXT,Third Party insurance,Petrol,5,"23,000",TS10,First Owner,999,Manual,2018,67,91,,Jul,2018,50,3.99,Bangalore,23.01
Ford,Ecosport 1.5 TDCi Titanium BSIV,Third Party insurance,Diesel,5,"78,000",TS08,First Owner,1498,Manual,2017,98.59,205,16,Jun,2017,60,7.99,Bangalore,22.77
Ford,Aspire 1.5 TDCi Trend,Third Party insurance,Diesel,5,"97,000",TS07,First Owner,1498,Manual,2017,99,215,,Jul,2017,60,5.25,Bangalore,25.83
Maruti,Baleno 1.3 Alpha,Third Party insurance,Diesel,5,"82,000",TS02,First Owner,1248,Manual,2017,74,190,16,Jul,2017,60,6.99,Bangalore,27.39
Chevrolet,Beat Diesel LT Option,Not Available,Diesel,5,"79,276",AP24,Second Owner,936,Manual,2011,57.6,150,14,Mar,2012,75,1.5,Bangalore,25.44
Renault,Scala Diesel RxL,Not Available,Diesel,5,"1,99,779",AP28,Third Owner,1461,Manual,2012,84.8,200,15,Feb,2013,75,2.5,Bangalore,21.64
Maruti,Baleno Alpha AMT,Not Available,Petrol,5,"8,910",TS07,First Owner,1197,Automatic,2022,88.50,113,16,May,2022,15,10.5,Bangalore,22.94
Maruti,Swift Dzire VXI,Third Party insurance,Petrol,5,"25,000",,First Owner,1197,Manual,2020,88.50,113,,,,30,7.0,Bangalore,22.41
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"76,151",AP31,First Owner,998,Manual,2014,67.04,90,,Jun,2014,75,3.39,Bangalore,20.51
Maruti,Swift Dzire ZXi,Third Party,Petrol,5,"53,287",AP09,First Owner,1298,Manual,2012,85.8,114,14,Jun,2012,75,4.47,Bangalore,17.5
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"81,492",TS08,Second Owner,998,Manual,2016,67.04,90,,Jun,2016,70,3.89,Bangalore,20.51
Hyundai,Santro Asta BSIV,Third Party,Petrol,5,"31,550",TS09,First Owner,1086,Manual,2019,68,99,,Jun,2019,40,4.87,Bangalore,20.3
Maruti,S-Presso VXI 2019-2022,Third Party,Petrol,5,"57,875",TS07,First Owner,998,Manual,2020,65.71,89,,Jun,2020,30,4.38,Bangalore,21.7
Datsun,RediGO 1.0 T Option,Third Party,Petrol,5,"2,031",TS10,First Owner,999,Manual,2021,67.05,91,,Jun,2021,20,4.56,Bangalore,21.7
Hyundai,Creta 1.6 SX,Third Party,Petrol,5,"79,913",TS15,First Owner,1591,Manual,2019,121.3,151,17,Jun,2019,40,11.09,Bangalore,15.8
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"90,621",TS08,Second Owner,1197,Manual,2017,83.1,115,16,Jun,2017,60,5.66,Bangalore,21.4
Hyundai,i20 1.4 Asta Option,Third Party,Diesel,5,"75,130",TS07,First Owner,1396,Manual,2018,88.73,219.7,16,Jun,2018,50,8.54,Bangalore,22.54
Maruti,Alto K10 VXI,Third Party,Petrol,5,"91,877",TS07,First Owner,998,Manual,2018,67.05,90,,Jun,2018,50,3.45,Bangalore,23.95
Maruti,Wagon R VXI AMT Opt 1.2BSIV,Third Party,Petrol,5,"65,949",TS08,Second Owner,1197,Automatic,2016,81.80,113,,Jun,2016,70,4.4,Bangalore,21.5
Datsun,RediGO 1.0 T Option,Third Party,Petrol,5,"9,845",TS08,First Owner,999,Manual,2021,67.05,91,,Jun,2021,20,4.55,Bangalore,21.7
Ford,Fiesta 1.6 Duratec CLXI,Third Party,Petrol,5,"64,648",AP09,Second Owner,1596,Manual,2012,99.6,146,14,Sept,2012,75,3.5,Bangalore,15.3
Maruti,Swift Dzire VXI 1.2,Third Party insurance,Petrol,5,"52,000",TS07,First Owner,1197,Manual,2019,81.80,113,,May,2019,40,7.25,Bangalore,21.21
Maruti,Vitara Brezza VDi,Third Party insurance,Diesel,5,"80,000",,First Owner,1248,Manual,2018,88.5,200,,,,50,8.0,Bangalore,24.3
Mahindra,Thar CRDe,Not Available,Diesel,6,"61,782",TS08,Second Owner,2498,Manual,2016,105,247,,Jan,2017,70,5.9,Bangalore,16.55
MG,Hector Sharp DCT,Third Party insurance,Petrol,5,"42,000",TS15,First Owner,1451,Automatic,2019,141,250,R18,Dec,2019,40,16.99,Bangalore,
Hyundai,Verna CRDi,Third Party insurance,Diesel,5,"1,10,000",,Third Owner,1493,Manual,2006,,,14,,,75,2.0,Bangalore,16.8
MG,Hector Plus Sharp DCT,Third Party insurance,Petrol,6,"35,000",,First Owner,1451,Automatic,2020,141,250,R18,,,30,18.0,Bangalore,11.67
Maruti,Alto 800 LXI CNG,Third Party,CNG,5,"70,126",TS09,First Owner,796,Manual,2019,47.3,69,,Jun,2019,40,3.63,Bangalore,33
Renault,Captur Platine Dual Tone Diesel,Third Party,Diesel,5,"47,446",TS07,First Owner,1461,Manual,2019,108.49,240,17,Jun,2019,40,11.05,Bangalore,20.37
Maruti,SX4 S Cross Alpha,Third Party,Petrol,5,"47,685",TS08,First Owner,1462,Manual,2020,103.25,138,16,Jun,2020,30,10.55,Bangalore,18.55
Datsun,RediGO T Option,Third Party,Petrol,5,"19,058",TS10,Second Owner,799,Manual,2020,53.64,72,,Jun,2020,30,4.47,Bangalore,22.7
Volkswagen,Polo 1.0 MPI Comfortline,Third Party,Petrol,5,"70,425",TS08,First Owner,999,Manual,2018,75,95,,Jun,2018,50,6.16,Bangalore,18.78
Maruti,Swift Dzire AMT VXI,Third Party,Petrol,5,"51,250",TS08,First Owner,1197,Automatic,2018,81.80,113,,Jun,2018,50,7.22,Bangalore,21.21
Maruti,Baleno Delta,Third Party,Petrol,5,"80,448",TS07,First Owner,1197,Manual,2019,81.80,113,,Jun,2019,40,6.59,Bangalore,21.01
Maruti,Ciaz Alpha Automatic BSIV,Third Party,Petrol,5,"67,295",TS08,First Owner,1462,Automatic,2019,103.25,138,16,Jun,2019,40,8.26,Bangalore,20.28
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Third Party,Petrol,5,"96,656",TS08,First Owner,1197,Manual,2017,81.86,113.75,,Jun,2017,60,4.75,Bangalore,18.9
Hyundai,i10 Magna 1.2 iTech SE,Third Party,Petrol,5,"65,933",AP23,First Owner,1197,Manual,2013,78.9,111.7,13,Jun,2013,75,3.61,Bangalore,20.36
Datsun,RediGO 1.0 T Option,Third Party,Petrol,5,"18,485",TS08,First Owner,999,Manual,2021,67.05,91,,Jun,2021,20,4.83,Bangalore,21.7
Hyundai,Elite i20 2018 Diesel Asta Option,Third Party,Diesel,5,"68,683",TS08,First Owner,1396,Manual,2018,88.73,219.7,16,Jun,2018,50,7.97,Bangalore,22.54
Honda,Amaze VX i DTEC,Third Party insurance,Diesel,5,"90,000",,First Owner,1498,Manual,2018,98.6,200,14,,,50,7.5,Bangalore,25.8
Honda,Jazz 1.2 S i VTEC,Third Party insurance,Petrol,5,"60,000",,Second Owner,1199,Manual,2018,88.7,110,,,,50,5.5,Bangalore,18.7
Volvo,S60 D5 Summum,Available,Diesel,5,"78,000",,Second Owner,2400,Automatic,2015,215,440,18,,,75,16.0,Bangalore,14.87
Hyundai,Creta 1.6 SX,Third Party insurance,Petrol,5,"50,000",,First Owner,1591,Manual,2018,121.3,151,17,,,50,11.0,Bangalore,15.8
Skoda,Rapid 1.5 TDI AT Style BSIV,Third Party insurance,Diesel,5,"1,00,000",,First Owner,1498,Automatic,2017,108.6,250,16,,,60,7.5,Bangalore,21.72
Maruti,Swift VXI,Third Party insurance,Petrol,5,"60,000",,Second Owner,1197,Manual,2012,85.8,114,14,,,75,3.5,Bangalore,18.6
Honda,Amaze V CVT Petrol,Third Party insurance,Petrol,5,"31,683",TS03,First Owner,1199,Automatic,2018,88.76,110,R15,Jan,2019,50,7.45,Bangalore,18.3
Datsun,RediGO T Option,Third Party,Petrol,5,"7,468",TS08,First Owner,799,Manual,2021,53.64,72,,Jun,2021,20,4.14,Bangalore,20.71
Hyundai,Creta 1.6 SX Diesel,Third Party,Diesel,5,"50,412",TS07,First Owner,1582,Manual,2018,126.2,259.87,17,Jun,2018,50,12.27,Bangalore,20.5
Tata,Altroz XZ Turbo,Third Party,Petrol,5,"60,805",TS17,First Owner,1199,Manual,2021,108.48,140,16,Jun,2021,20,9.44,Bangalore,18.5
Volkswagen,Polo 1.0 TSI Highline Plus,Third Party,Petrol,5,"39,851",TS08,First Owner,999,Manual,2020,108.62,175,R16,Jun,2020,30,9.04,Bangalore,18.24
Honda,City ZX CVT,Third Party,Petrol,5,"96,695",AP39,First Owner,1497,Automatic,2019,117.6,145,16,Jun,2019,40,9.99,Bangalore,17.4
Maruti,SX4 S Cross Alpha,Third Party,Petrol,5,"12,737",TS09,First Owner,1462,Manual,2020,103.25,138,16,Jun,2020,30,10.89,Bangalore,18.55
Maruti,Ciaz Delta AT,Comprehensive,Petrol,5,"35,943",TS07,First Owner,1462,Automatic,2017,103.25,138,15,Jun,2017,60,7.37,Bangalore,20.04
Renault,KWID Climber 1.0 MT,Comprehensive,Petrol,5,"73,698",TS07,First Owner,999,Manual,2019,67,91,,Jun,2019,40,4.09,Bangalore,23.01
Honda,Amaze S Option i-DTEC,Third Party,Diesel,5,"57,977",TS08,First Owner,1498,Manual,2018,98.6,200,,Jun,2018,50,7.12,Bangalore,25.8
Hyundai,i20 Petrol Asta Option,Third Party,Petrol,5,"38,288",TS09,First Owner,1197,Manual,2019,81.86,114.73,16,Jun,2019,40,7.6,Bangalore,18.6
Volkswagen,Polo 1.0 TSI Highline Plus,Comprehensive,Petrol,5,"26,675",TS15,First Owner,999,Manual,2020,108.62,175,R16,Jun,2020,30,8.92,Bangalore,18.24
Volkswagen,Polo 1.5 TDI Highline,Third Party insurance,Diesel,5,"99,300",,Second Owner,1498,Manual,2016,88,230,15,,,70,5.8,Bangalore,20.14
Maruti,Ertiga VDI,Third Party insurance,Diesel,7,"63,000",TS13,First Owner,1248,Manual,2014,88.76,200,,Aug,2014,75,7.45,Bangalore,20.77
Audi,Q5 2.0 TFSI Quattro,Third Party insurance,Petrol,5,"92,000",AP09,First Owner,1984,Automatic,2010,208,350,17,Aug,2010,75,11.5,Bangalore,9.74
Toyota,Innova Crysta 2.8 ZX AT BSIV,Third Party insurance,Diesel,7,"40,000",TS07,First Owner,2755,Automatic,2018,171.5,360,17,Jul,2018,50,23.99,Bangalore,11.36
Maruti,Baleno Alpha,Third Party insurance,Petrol,5,"26,200",,First Owner,1197,Manual,2021,81.80,113,R16,,,20,7.85,Bangalore,21.01
Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,Corporate,Diesel,5,"7,450",N/A,First Owner,1498,Manual,2019,98.96,205,16,,,40,10.5,Bangalore,23
Kia,Seltos GTX Plus Diesel AT,Third Party insurance,Diesel,5,"66,000",TS10,First Owner,1493,Automatic,2020,113.43,250,17,Aug,2020,30,18.25,Bangalore,18
Toyota,Innova Crysta 2.8 ZX AT BSIV,Third Party insurance,Diesel,7,"2,75,000",TS07,First Owner,2755,Automatic,2017,171.5,360,17,Oct,2017,60,18.5,Bangalore,11.36
Maruti,Swift ZXI BSIV,Third Party,Petrol,5,"49,480",TS33,Second Owner,1197,Manual,2017,81.80,113,15,Jun,2017,60,6.34,Bangalore,22
Maruti,Ciaz 1.4 Delta,Comprehensive,Petrol,5,"36,485",TS07,First Owner,1373,Manual,2017,91.1,130,,Jun,2017,60,7.81,Bangalore,20.73
Hyundai,i20 Active 1.2 SX Dual Tone,Third Party,Petrol,5,"41,728",TS08,First Owner,1197,Manual,2018,81.86,114.73,16,Jun,2018,50,8.07,Bangalore,17.19
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"48,088",TS08,First Owner,1197,Manual,2019,83.1,115,16,Jun,2019,40,7.31,Bangalore,21.4
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"43,491",TS07,First Owner,1197,Manual,2019,83.1,115,16,Jun,2019,40,7.46,Bangalore,21.4
Hyundai,Santro Sportz BSIV,Third Party,Petrol,5,"50,555",TS08,Second Owner,1086,Manual,2019,68,99,,Jun,2019,40,4.8,Bangalore,20.3
Hyundai,Santro Sportz BSIV,Third Party,Petrol,5,"74,336",TS36,First Owner,1086,Manual,2018,68,99,,Jun,2018,50,4.49,Bangalore,20.3
Hyundai,Santro Asta BSIV,Third Party,Petrol,5,"30,348",TS07,Second Owner,1086,Manual,2018,68,99,,Jun,2018,50,5.11,Bangalore,20.3
Volkswagen,Ameo 1.2 MPI Comfortline,Third Party,Petrol,5,"94,983",TS07,First Owner,1198,Manual,2017,73.75,110,,Jun,2017,60,5.21,Bangalore,17
Volkswagen,Polo 1.0 TSI Highline Plus,Comprehensive,Petrol,5,"42,108",TS08,First Owner,999,Manual,2021,108.62,175,R16,Jun,2021,20,8.57,Bangalore,18.24
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"70,000",,Second Owner,796,Manual,2017,47.3,69,,,,60,2.7,Bangalore,24.7
Ford,Ecosport 1.5 DV5 MT Trend,Third Party insurance,Diesel,5,"1,20,000",,Second Owner,1498,Manual,2013,89.84,204,,,,75,4.6,Bangalore,22.7
Maruti,Alto K10 Knightracer,Third Party insurance,Petrol,5,"1,20,000",N/A,First Owner,998,Manual,2012,67.1,90,13,,,75,2.5,Bangalore,20.2
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"90,000",,Second Owner,1197,Manual,2010,78.9,111.7,13,,,75,2.1,Bangalore,20.36
Ford,Fiesta 1.4 Durasport EXI,Third Party insurance,Petrol,5,"1,20,000",,First Owner,1388,Manual,2007,,16,14,,,75,1.25,Bangalore,16.6
Mahindra,XUV500 W9,Third Party insurance,Diesel,7,"40,000",,First Owner,2179,Manual,2021,152.87,360,R17,,,20,16.8,Bangalore,15.1
Skoda,Octavia 2.0 TDI AT L K,Zero Dep,Diesel,5,"35,700",TS09,First Owner,1968,Automatic,2017,141,320,16,May,2018,60,19.95,Bangalore,19.5
BMW,5 Series 520d M Sport,Third Party insurance,Diesel,5,"10,700",TS09,First Owner,1995,Automatic,2017,190,400,17,Mar,2018,60,47.5,Bangalore,18.12
Maruti,Swift VDI BSIV,Third Party,Diesel,5,"97,677",TS09,First Owner,1248,Manual,2015,74,190,,Jun,2015,75,5.24,Bangalore,25.2
Hyundai,Creta 1.6 SX Automatic,Third Party,Petrol,5,"68,795",TS07,Second Owner,1591,Automatic,2016,121.3,151,17,Jun,2016,70,11.15,Bangalore,14.8
Maruti,SX4 S Cross Delta DDiS 200 SH,Third Party,Diesel,5,"64,527",TS08,Second Owner,1248,Manual,2019,88.5,200,,Jun,2019,40,8.97,Bangalore,25.1
Maruti,SX4 S Cross Alpha,Third Party,Petrol,5,"40,533",TS02,First Owner,1462,Manual,2020,103.25,138,16,Jun,2020,30,10.72,Bangalore,18.55
Maruti,Swift ZXI BSIV,Third Party,Petrol,5,"70,868",TS10,First Owner,1197,Manual,2017,81.80,113,15,Jun,2017,60,6.08,Bangalore,22
Hyundai,i20 Diesel Asta Option,Third Party,Diesel,5,"53,623",TS07,Second Owner,1396,Manual,2019,88.76,219.66,16,Jun,2019,40,8.52,Bangalore,22.54
Volkswagen,Polo 1.0 TSI Highline Plus,Zero Dep,Petrol,5,"11,826",TS10,First Owner,999,Manual,2020,108.62,175,R16,Jun,2020,30,9.04,Bangalore,18.24
Maruti,Swift VDI BSIV,Third Party,Diesel,5,"75,356",TS08,Second Owner,1248,Manual,2015,74,190,,Jun,2015,75,5.15,Bangalore,25.2
Maruti,Swift ZXI BSIV,Third Party,Petrol,5,"49,480",TS09,First Owner,1197,Manual,2017,81.80,113,15,Jun,2017,60,7.13,Bangalore,22
Skoda,Rapid Monte Carlo 1.5 TDI AT BSIV,Third Party,Diesel,5,"71,347",TS08,Second Owner,1498,Automatic,2017,108.6,250,15,Jun,2017,60,10.1,Bangalore,21.66
Maruti,SX4 S Cross DDiS 200 Zeta,Comprehensive,Diesel,5,"66,469",TS07,First Owner,1248,Manual,2017,88.5,200,16,Jun,2017,60,7.88,Bangalore,23.65
Maruti,SX4 S Cross Delta DDiS 200 SH,Comprehensive,Diesel,5,"53,516",TS07,First Owner,1248,Manual,2019,88.5,200,,Jun,2019,40,10.15,Bangalore,25.1
Ford,Fiesta Diesel Titanium Plus,Third Party insurance,Diesel,5,"1,00,000",,First Owner,1498,Manual,2013,88.7,204,15,,,75,3.0,Bangalore,23.5
Maruti,Swift Vdi BSIII,Third Party insurance,Diesel,5,"1,20,000",,First Owner,1248,Manual,2008,75,190 ,14,,,75,2.49,Bangalore,17.8
Tata,Indigo CR4,Third Party insurance,Diesel,5,"70,000",,Second Owner,1396,Manual,2012,70,140,14,,,75,1.6,Bangalore,23.57
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"82,600",,Second Owner,1197,Manual,2014,85.8,114,14,,,75,4.2,Bangalore,19.1
Hyundai,Aura SX Plus AMT,Third Party insurance,Petrol,5,"8,120",,First Owner,1197,Automatic,2022,81.86,113.8,15,,,15,8.37,Bangalore,20.1
Mahindra,XUV500 W7 AT,Third Party insurance,Diesel,7,"49,500",TS08,First Owner,2179,Automatic,2020,152.87,360,,Nov,2020,30,16.75,Bangalore,15.1
Volvo,S60 D4 KINETIC,Third Party insurance,Diesel,5,"30,000",,First Owner,1984,Automatic,2014,181,400,17,,,75,13.5,Bangalore,9
Maruti,Swift Dzire VXi AT,Third Party,Petrol,5,"89,335",AP11,Second Owner,1197,Automatic,2014,85.8,114,14,Jun,2014,75,5.04,Bangalore,17.4
Hyundai,Creta 1.6 VTVT SX Plus,Third Party,Petrol,5,"94,538",TS08,Second Owner,1591,Manual,2017,121.3,151,17,Jun,2017,60,9.53,Bangalore,13
Volkswagen,Polo 1.0 MPI Highline Plus BSIV,Third Party,Petrol,5,"41,860",TS07,Second Owner,999,Manual,2020,75,95,16,Jun,2020,30,8.95,Bangalore,18.78
Volkswagen,Polo 1.0 TSI Highline Plus AT,Comprehensive,Petrol,5,"65,866",TS02,First Owner,999,Automatic,2020,108.62,175,R16,Jun,2020,30,8.84,Bangalore,16.47
Honda,Jazz 1.5 V i DTEC,Third Party,Diesel,5,"98,196",TS07,Second Owner,1498,Manual,2016,98.6,200,15,Jun,2016,70,5.93,Bangalore,27.3
Volkswagen,Vento 1.2 TSI Highline AT,Third Party,Petrol,5,"86,252",TS15,First Owner,1197,Automatic,2017,103.2,175,15,Jun,2017,60,7.43,Bangalore,18.19
Honda,Jazz 1.2 VX i VTEC,Third Party,Petrol,5,"84,253",TS15,First Owner,1199,Manual,2015,88.7,110,15,Jun,2015,75,5.31,Bangalore,18.7
Toyota,Etios G,Third Party,Petrol,5,"75,495",AP09,First Owner,1496,Manual,2013,88.73,132,15,Jun,2013,75,4.19,Bangalore,17.6
Hyundai,Grand i10 1.2 CRDi Sportz,Third Party,Diesel,5,"53,915",TS07,Second Owner,1186,Manual,2018,73.97,190.24,,Jun,2018,50,5.62,Bangalore,24
Maruti,SX4 S Cross DDiS 200 Zeta,Third Party,Diesel,5,"98,889",TS07,First Owner,1248,Manual,2016,88.5,200,16,Jun,2016,70,6.9,Bangalore,23.65
Maruti,Alto K10 2010-2014 VXI,Third Party,Petrol,5,"38,093",AP28,First Owner,998,Manual,2013,67.1,90,13,Jun,2013,75,2.44,Bangalore,20.92
Maruti,Alto LXi,Third Party,Petrol,5,"47,517",AP29,Second Owner,796,Manual,2010,46.3,62,12,Jun,2010,75,1.74,Bangalore,19.7
Maruti,Ertiga VXI,Third Party insurance,Petrol,7,"60,000",,First Owner,1373,Manual,2013,93.7,130,,,,75,5.5,Bangalore,16.02
Maruti,Ertiga ZXI AT Petrol,Third Party insurance,Petrol,7,"30,800",,Second Owner,1462,Automatic,2019,103,138,,,,40,8.5,Bangalore,18.69
Honda,City 1.3 EXI,Third Party insurance,Petrol,5,"1,10,000",,Second Owner,1343,Manual,2003,90 ,11.3 k,14,,,75,1.35,Bangalore,13
Ford,Freestyle Titanium Plus,Third Party insurance,Petrol,5,"11,000",,First Owner,1194,Manual,2021,94.93,119,R15,,,20,7.5,Bangalore,18.5
Tata,Altroz XZ Diesel,Comprehensive,Diesel,5,"21,000",N/A,First Owner,1497,Manual,2021,88.77,200,16,,,20,8.7,Bangalore,23.64
Maruti,Swift Dzire AMT VXI BS IV,Third Party insurance,Petrol,5,"16,000",TS07,First Owner,1197,Automatic,2018,81.80,113,,Jul,2018,50,7.25,Bangalore,22
Hyundai,Verna XXi (Petrol),Third Party insurance,Petrol,5,"1,05,000",,Second Owner,1599,Manual,2008,10,14,14,,,75,1.65,Bangalore,13.9
Hyundai,i10 Era,Available,Petrol,5,"1,00,000",N/A,Second Owner,1086,Manual,2008,68.05,99.04,,,,75,2.4,Bangalore,19.81
Maruti,Alto K10 2010-2014 VXI,Third Party,Petrol,5,"82,053",AP16,Second Owner,998,Manual,2013,67.1,90,13,Jun,2013,75,2.28,Bangalore,20.92
Maruti,Alto K10 2010-2014 VXI,Third Party,Petrol,5,"78,486",AP28,First Owner,998,Manual,2013,67.1,90,13,Jun,2013,75,2.49,Bangalore,20.92
Maruti,Alto 800 LXI,Third Party,Petrol,5,"83,411",AP28,Second Owner,796,Manual,2013,47.3,69,,Jun,2013,75,2.47,Bangalore,22.74
Audi,Q3 35 TDI Quattro Premium Plus,Comprehensive,Diesel,5,"60,516",KA19,First Owner,1968,Automatic,2017,174.33,380,17,Mar,2017,60,25.9,Bangalore,15.73
Hyundai,Xcent Prime T Plus CNG,Third Party,CNG,5,"18,887",TS02,First Owner,1197,Manual,2022,65.39,97.96,,Jun,2022,15,7.37,Bangalore,
Renault,Kiger RXZ AMT,Third Party,Petrol,5,"4,203",TS08,First Owner,999,Automatic,2022,71.01,96,16,Jun,2022,15,9.23,Bangalore,19.03
Nissan,Magnite XV,Third Party,Petrol,5,"3,276",TS08,First Owner,999,Manual,2022,71.02,96,16,Jun,2022,15,7.94,Bangalore,18.75
Tata,Punch Accomplished Dazzle,Third Party,Petrol,5,"8,309",TS08,First Owner,1199,Manual,2022,117.74,115,15,Jun,2022,15,8.41,Bangalore,20.09
Hyundai,i10 Magna,Comprehensive,Petrol,5,"38,800",AP28,Second Owner,1197,Manual,2011,78.9,111.7,13,Jun,2011,75,2.69,Bangalore,20.36
Toyota,Urban cruiser Premium AT,Third Party,Petrol,5,"36,909",TS08,First Owner,1462,Automatic,2021,103.26,138,16,Jun,2021,20,11.66,Bangalore,18.76
Renault,Triber RXL,Third Party,Petrol,7,"24,160",TS07,First Owner,999,Manual,2021,71.01,96,,Jun,2021,20,6.33,Bangalore,20
Mahindra,TUV 300 mHAWK100 T8 AMT,Third Party insurance,Diesel,7,"60,000",,First Owner,1493,Automatic,2016,100,240,15,,,70,6.75,Bangalore,18.49
Hyundai,Santro Xing XO,Third Party insurance,Petrol,5,"1,10,000",N/A,Second Owner,1086,Manual,2007,,,13,Mar,2007,75,1.45,Bangalore,17
Honda,City EXi,Third Party insurance,Petrol,5,"90,000",,Second Owner,1497,Manual,2006,,12,14,,,75,1.15,Bangalore,17.7
Maruti,Ritz VDi,Third Party insurance,Diesel,5,"80,000",,Second Owner,1248,Manual,2013,73.94,190,,,,75,3.2,Bangalore,23.2
Kia,Sonet 1.5 GTX Plus Diesel,Third Party insurance,Diesel,5,"52,820",TS10,First Owner,1493,Manual,2020,98.63,240,16,Dec,2020,30,12.8,Bangalore,
Hyundai,Santro Xing GLS,Third Party insurance,Petrol,5,"1,00,000",,Second Owner,1086,Manual,2008,62.1,96.1,13,,,75,1.4,Bangalore,17.92
Kia,Sonet HTX Turbo iMT,Third Party insurance,Petrol,5,"30,000",,First Owner,998,Manual,2020,118.36,172,16,,,30,9.5,Bangalore,18.2
Maruti,Baleno 1.2 Zeta,Third Party insurance,Petrol,5,"51,748",TS10,First Owner,1197,Manual,2016,83.1,115,16,Sept,2016,70,6.15,Bangalore,21.4
Mahindra,Thar LX 4-Str Hard Top AT,Comprehensive,Petrol,4,"19,906",TS07,First Owner,1997,Automatic,2021,150,320,18,Jun,2021,20,16.52,Bangalore,
Renault,Kiger RXZ Turbo CVT,Third Party,Petrol,5,"6,704",TS10,First Owner,999,Automatic,2021,98.63,152,16,Jun,2021,20,10.84,Bangalore,18.24
Maruti,Celerio ZXI AMT BSIV,Comprehensive,Petrol,5,"46,536",TS08,First Owner,998,Automatic,2019,67.04,90,,Jun,2019,40,5.25,Bangalore,23.1
