Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Audi,A4 1.8 TFSI,Comprehensive,Petrol,5,"1,25,000",MH12,Second Owner,1781,Automatic,2010,12.3,16,22,16,May,2010,75,6.75,Mumbai
Maruti,Baleno Alpha,Comprehensive,Petrol,5,"66,000",MH12,First Owner,1197,Manual,2016,21.01,81.80,113,R16,Mar,2016,70,5.5,Mumbai
Hyundai,i20 Magna 1.2,Comprehensive,Petrol,5,"22,000",MH14,First Owner,1197,Manual,2017,18.6,81.83,114.7,,Mar,2017,60,5.6,Mumbai
Maruti,Celerio VXI Optional,Comprehensive,Petrol,5,"29,000",MH12,First Owner,998,Manual,2017,23.1,67.04,90,,Mar,2017,60,4.25,Mumbai
Volkswagen,Vento Petrol Highline,Third Party,Petrol,5,"54,000",MH43,First Owner,1598,Manual,2012,15.04,103.6,153,15,Jun,2012,75,3.25,Mumbai
Volkswagen,Vento Petrol Highline,Third Party,Petrol,5,"62,000",MH01,Second Owner,1598,Manual,2011,15.04,103.6,153,15,Jul,2011,75,3.0,Mumbai
Volkswagen,Vento Petrol Highline,Third Party,Petrol,5,"56,000",MH02,First Owner,1598,Manual,2011,15.04,103.6,153,15,Jul,2011,75,3.0,Mumbai
Hyundai,Verna CRDi,Third Party,Diesel,5,"78,000",MH12,First Owner,1493,Manual,2010,16.8,,,14,Jul,2010,75,3.0,Mumbai
Hyundai,i10 Magna,Third Party,Petrol,5,"62,000",MH02,First Owner,1197,Manual,2013,20.36,78.9,111.7,13,Jun,2013,75,3.0,Mumbai
Toyota,Innova 2.5 G4 Diesel 8-seater,Third Party,Diesel,8,"1,63,000",MH06,Second Owner,2494,Manual,2006,12.8,,20,15,Aug,2006,75,3.3,Mumbai
Volkswagen,Vento Petrol Highline,Third Party,Petrol,5,"84,000",MH02,Second Owner,1598,Manual,2011,15.04,103.6,153,15,Jul,2011,75,2.99,Mumbai
Maruti,Wagon R CNG LXI,Comprehensive,CNG,5,"21,750",MH12,First Owner,998,Manual,2021,32.52,58.33,78,,Apr,2021,20,6.36,Mumbai
Jaguar,XF 2.2 Litre Luxury,Comprehensive,Diesel,5,"84,000",MH12,Second Owner,2179,Automatic,2013,16.36,187.7,450,20,Dec,2013,75,15.99,Mumbai
Maruti,SX4 S Cross Alpha DDiS 200 SH,Comprehensive,Diesel,5,"85,300",MH14,First Owner,1248,Manual,2016,25.1,88.5,200,R16,Nov,2016,70,6.75,Mumbai
Mahindra,TUV 300 T8,Comprehensive,Diesel,7,"73,300",MH14,First Owner,1493,Manual,2016,18.49,100,240,15,Feb,2016,70,7.85,Mumbai
Maruti,Wagon R CNG LXI BSIV,Comprehensive,CNG,5,"61,680",MH12,First Owner,998,Manual,2016,33.54,67.04,90,,Apr,2016,70,4.1,Mumbai
Tata,Harrier XZA Plus Kaziranga Edition AT,Zero Dep,Diesel,5,"9,600",MH14,First Owner,1956,Automatic,2022,14.6,167.67,350,17,Mar,2022,15,23.65,Mumbai
Honda,BR-V i-VTEC V CVT,Comprehensive,Petrol,7,"64,500",MH10,First Owner,1497,Automatic,2016,15.4,117.3,145,16,Jul,2016,70,7.3,Mumbai
Hyundai,Tucson 2.0 e-VGT 2WD AT GL Opt,Comprehensive,Diesel,5,"51,000",MH12,First Owner,1995,Automatic,2019,16.38,182.46,400.11,18,Mar,2019,40,23.0,Mumbai
Hyundai,i20 Magna 1.2,Comprehensive,Petrol,5,"58,000",MH12,First Owner,1197,Manual,2015,18.6,81.83,114.7,,Sept,2015,75,5.3,Mumbai
Renault,Duster 110PS Diesel RXZ Option,Comprehensive,Diesel,5,"91,000",MH12,First Owner,1461,Manual,2015,19.64,108.45,245,16,Aug,2015,75,6.0,Mumbai
Hyundai,i20 Sportz 1.4 CRDi,Comprehensive,Diesel,5,"68,000",MH12,First Owner,1396,Manual,2015,22.54,88.73,219.7,,Sept,2016,75,5.5,Mumbai
Honda,City S,Comprehensive,Petrol,5,"74,000",MH12,First Owner,1497,Manual,2012,16.8,116.4,146,15,Aug,2012,75,4.3,Mumbai
Maruti,Celerio ZXI,Comprehensive,Petrol,5,"31,223",MH19,First Owner,998,Manual,2014,23.1,67.04,90,,Jul,2014,75,3.9,Mumbai
Hyundai,Creta 1.6 CRDi SX Option,Comprehensive,Diesel,5,"65,000",MH12,First Owner,1582,Manual,2018,19.67,126.2,259.9,17,Mar,2018,50,13.65,Mumbai
Maruti,Celerio ZXI AT,Comprehensive,Petrol,5,"25,000",MH12,First Owner,998,Automatic,2016,23.1,67.04,90,,Mar,2016,70,4.5,Mumbai
Ford,Endeavour 2.2 Titanium AT 4X2 Sunroof,Comprehensive,Diesel,7,"1,07,000",MH13,First Owner,2198,Automatic,2018,12.62,158,385,18,Oct,2018,50,29.5,Mumbai
Renault,KWID 1.0 RXT,Comprehensive,Petrol,5,"53,123",MH12,First Owner,999,Manual,2016,23.01,67,91,,Jul,2016,70,2.9,Mumbai
Hyundai,i10 Magna 1.1L,Comprehensive,Petrol,5,"64,213",MH12,First Owner,1086,Manual,2011,19.81,68.05,99.04,,Jul,2011,75,2.3,Mumbai
Hyundai,Xcent 1.2 Kappa SX Option,Comprehensive,Petrol,5,"48,000",MH12,First Owner,1197,Manual,2017,19.1,82,114,15,Mar,2017,60,4.85,Mumbai
Maruti,Alto K10 VXI,Comprehensive,Petrol,5,"29,000",MH14,Second Owner,998,Manual,2015,23.95,67.05,90,,Mar,2015,75,2.75,Mumbai
Ford,Ecosport 1.5 Petrol Trend BSIV,Comprehensive,Petrol,5,"68,000",MH03,First Owner,1497,Manual,2015,17,121.36,150,,Oct,2015,75,4.5,Mumbai
Maruti,Ritz VXi,Third Party insurance,Petrol,5,"77,000",MH15,Second Owner,1197,Manual,2015,18.5,85.80,114,,Jan,2015,75,3.55,Mumbai
Honda,BR-V i-VTEC V CVT,Third Party insurance,Petrol,7,"62,000",MH12,First Owner,1497,Automatic,2017,15.4,117.3,145,16,Mar,2017,60,8.3,Mumbai
Maruti,Celerio VXI AT,Comprehensive,Petrol,5,"57,000",MH12,First Owner,998,Automatic,2014,23.1,67.04,90,,Mar,2014,75,3.85,Mumbai
Hyundai,i10 Magna,Comprehensive,Petrol,5,"57,000",MH12,First Owner,1197,Manual,2011,20.36,78.9,111.7,13,Mar,2011,75,2.45,Mumbai
Volkswagen,Passat Diesel Comfortline AT,Third Party,Diesel,5,"1,04,000",MH02,Second Owner,1968,Automatic,2012,14.3,167.7,350,16,Nov,2012,75,5.5,Mumbai
Maruti,SX4 ZXI AT Leather,Third Party,Petrol,5,"80,000",MH02,Second Owner,1586,Automatic,2010,12.6,103.2,145,16,Dec,2010,75,1.99,Mumbai
Maruti,Ertiga ZDI Plus,Third Party,Diesel,7,"1,48,000",MH14,Second Owner,1248,Manual,2013,20.77,88.8,200,15,Jun,2013,75,6.65,Mumbai
Renault,KWID 1.0 RXT,Comprehensive,Petrol,5,"39,000",MH48,First Owner,999,Manual,2016,23.01,67,91,,Nov,2016,70,2.95,Mumbai
Honda,City i VTEC V,Third Party insurance,Petrol,5,"65,000",MH02,Second Owner,1497,Manual,2012,17.4,117.3,145,15,Dec,2012,75,3.65,Mumbai
Hyundai,Verna 1.6 SX VTVT AT,Third Party insurance,Petrol,5,"75,000",MH01,Second Owner,1591,Automatic,2013,15.74,121.3,154.9,16,Nov,2013,75,4.35,Mumbai
Honda,City 1.5 S MT,Third Party,Petrol,5,"68,000",MH03,First Owner,1497,Manual,2009,17,"118PS at 6,600 ",146Nm at 4800 r,15,Nov,2009,75,2.45,Mumbai
Honda,Accord 2.4 A/T,Third Party insurance,Petrol,5,"92,000",MH05,First Owner,2354,Automatic,2010,11.7,177.6,222,16,Oct,2010,75,2.99,Mumbai
Skoda,Superb 1.8 TSI MT,Third Party insurance,Petrol,5,"62,000",MH02,Second Owner,1798,Manual,2011,13.14,160 ,25 K,16,Nov,2011,75,3.35,Mumbai
Skoda,Superb Elegance 2.0 TDI CR AT,Comprehensive,Diesel,5,"88,000",MH06,Second Owner,1968,Automatic,2011,17.2,138.1,320,16,Dec,2011,75,4.99,Mumbai
Chevrolet,Cruze LTZ AT,Comprehensive,Diesel,5,"92,000",MH02,Second Owner,1991,Automatic,2010,18.1,147.9,327,16,Dec,2010,75,2.95,Mumbai
Tata,Altroz XZ Plus,Comprehensive,Petrol,5,"17,000",MH07,First Owner,1199,Manual,2021,19.33,86.83,113,16,Nov,2021,20,7.45,Mumbai
Renault,Duster Petrol RxL,Comprehensive,Petrol,5,"55,000",MH43,Second Owner,1598,Manual,2013,13.24,102.57,145,16,Dec,2013,75,3.99,Mumbai
Maruti,Swift VXI,Comprehensive,Petrol,5,"78,000",MH14,First Owner,1197,Manual,2013,18.6,85.8,114,14,Dec,2013,75,3.95,Mumbai
Volkswagen,Vento 1.6 Highline,Comprehensive,Petrol,5,"35,000",MH01,Second Owner,1598,Manual,2015,16.09,103.2,153,15,Nov,2015,75,4.99,Mumbai
Maruti,Swift VXI BSIII,Third Party insurance,Petrol,5,"99,000",MH12,Second Owner,1298,Manual,2009,16.1,8,11,14,Feb,2009,75,2.0,Mumbai
Maruti,Swift AMT VXI,Comprehensive,Petrol,5,"79,200",MH12,First Owner,1197,Automatic,2015,21.21,81.80,113,,Nov,2015,75,5.0,Mumbai
Skoda,Superb LK 1.8 TSI AT,Comprehensive,Petrol,5,"64,000",MH01,Second Owner,1798,Automatic,2016,14.67,177.46,2,17,Nov,2016,70,13.85,Mumbai
BMW,5 Series 530d Highline Sedan,Comprehensive,Diesel,5,"95,000",MH04,Second Owner,2993,Automatic,2009,11.5,,,17,Nov,2009,75,5.95,Mumbai
