Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Hyundai,Verna SX CRDi AT,Third Party insurance,Diesel,5,"90,000",,Second Owner,1582,Automatic,2013,19.08,126.32,259.8,16,,,75,5.1,Mumbai
Hyundai,Xcent Prime T Plus CNG,Third Party insurance,CNG,5,"50,000",,First Owner,1197,Manual,2022,,65.39,97.96,,,,15,7.0,Mumbai
Mahindra,Xylo H9,Third Party insurance,Diesel,8,"90,000",,Third Owner,2179,Manual,2015,14.02,118.3,280,15,,,75,5.5,Mumbai
Hyundai,i10 Magna,Third Party insurance,Petrol,5,"55,343",MH02,First Owner,1197,Manual,2011,20.36,78.9,111.7,13,Jan,2011,75,2.12,Mumbai
Hyundai,i20 1.2 Sportz,Third Party insurance,Petrol,5,"53,000",MH05,Second Owner,1197,Manual,2012,17,80 PS at 5200 ,"11.4 kgm at 4,000 r",14,Oct,2012,75,3.12,Mumbai
Hyundai,Grand i10 1.2 Kappa Magna AT,Third Party insurance,Petrol,5,"13,000",N/A,First Owner,1197,Automatic,2019,18.9,81.86,113.75,,,,40,5.75,Mumbai
Skoda,Octavia Style Plus 1.8 TSI AT,Third Party insurance,Petrol,5,"76,494",MH12,First Owner,1798,Automatic,2016,14.7,177.5,250,16,Mar,2017,70,14.0,Mumbai
Mercedes-Benz,C-Class C 200 AVANTGARDE,Third Party insurance,Petrol,5,"63,210",MH12,First Owner,1991,Automatic,2013,14.74,181.04,300,17,Dec,2013,75,13.5,Mumbai
BMW,X5 xDrive 30d Design Pure Experience 5 Seater,Third Party insurance,Diesel,5,"1,58,683",MH12,First Owner,2993,Automatic,2015,15.97,258,560,19,Aug,2015,75,30.0,Mumbai
BMW,3 Series 320d,Third Party insurance,Diesel,5,"90,000",,Second Owner,1995,Automatic,2012,13.2,,34,16,,,75,5.75,Mumbai
Audi,A6 35 TDI,Comprehensive,Diesel,5,"63,261",MH12,First Owner,1968,Automatic,2017,18.53,187.74,400,18,Jul,2017,60,32.0,Mumbai
Volkswagen,Ameo 1.2 MPI Highline,Zero Dep,Petrol,5,"53,505",MH11,First Owner,1198,Manual,2017,17,73.75,110,15,Jul,2018,60,6.25,Mumbai
Toyota,Corolla Altis 1.8 G CVT,Zero Dep,Petrol,5,"56,520",MH02,Second Owner,1798,Automatic,2017,14.28,138.03,173,16,Dec,2017,60,11.5,Mumbai
Honda,Amaze VX AT i-Vtech,Third Party insurance,Petrol,5,"50,000",,First Owner,1198,Automatic,2015,15.5,86.7,109,14,,,75,4.65,Mumbai
Maruti,Ertiga SHVS VDI,Third Party insurance,Diesel,7,"2,60,000",,Second Owner,1248,Manual,2016,24.52,88.5,200,,,,70,7.0,Mumbai
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"68,000",,First Owner,1197,Manual,2018,21.4,83.1,115,16,,,50,5.7,Mumbai
Maruti,Ertiga ZDI,Not Available,Diesel,7,"66,991",DN09,First Owner,1248,Manual,2015,20.77,88.8,200,15,Sept,2015,75,5.9,Mumbai
Mahindra,KUV 100 NXT G80 K2,Third Party insurance,Petrol,6,"60,000",,First Owner,1198,Manual,2019,18.15,82,115,,,,40,3.5,Mumbai
Audi,A6 35 TDI Premium,Comprehensive,Diesel,5,"1,26,176",MH12,First Owner,1968,Automatic,2015,17.68,174.33,380,17,Jul,2015,75,16.5,Mumbai
BMW,X3 xDrive20d xLine,Third Party insurance,Diesel,5,"36,692",MH12,First Owner,1995,Automatic,2016,18.56,190,400,18,Mar,2017,70,37.0,Mumbai
Mercedes-Benz,C-Class C 200 BE Classic,Third Party insurance,Petrol,5,"63,210",MH14,First Owner,1796,Automatic,2013,11.7,186,285,17,Dec,2013,75,13.5,Mumbai
Audi,A3 35 TFSI Premium,Zero Dep,Petrol,5,"43,225",MH12,First Owner,1395,Automatic,2018,19.8,150,250,16,Jun,2018,50,26.5,Mumbai
BMW,5 Series 520d Luxury Line,Zero Dep,Diesel,5,"59,077",MH12,First Owner,1995,Automatic,2018,20.37,187.74,400,R18,Jul,2018,50,46.0,Mumbai
BMW,X1 sDrive 20d xLine,Third Party insurance,Diesel,5,"86,860",MH14,First Owner,1995,Automatic,2019,20.68,188,400,17,Aug,2019,40,27.5,Mumbai
BMW,7 Series 730Ld DPE Signature,Third Party insurance,Diesel,4,"18,273",MH12,First Owner,2993,Automatic,2021,17.66,261.49,620,19,Aug,2021,20,1.35,Mumbai
Skoda,Octavia Ambiente 1.9 TDI,Not Available,Diesel,5,"96,068",MH12,Second Owner,1896,Manual,2008,18.7,66(90) / 4,210 / 19,15,Jun,2008,75,2.0,Mumbai
Hyundai,i10 Sportz,Third Party insurance,Petrol,5,"1,00,000",,Third Owner,1197,Manual,2008,20.36,78.9,111.8,13,,,75,1.3,Mumbai
Tata,Tiago 1.2 Revotron XZ,Third Party insurance,Petrol,5,"64,000",,First Owner,1199,Manual,2018,23.84,84,114,14,,,50,3.8,Mumbai
Nissan,Terrano XL,Not Available,Petrol,5,"58,742",MH02,First Owner,1598,Manual,2014,13.24,102.5,145,,Sept,2014,75,3.0,Mumbai
BMW,5 Series 520d Luxury Line,Third Party insurance,Diesel,5,"53,122",MH43,Second Owner,1995,Automatic,2017,18.12,190,400,18,Jan,2018,60,39.0,Mumbai
BMW,5 Series 525d Sedan,Comprehensive,Diesel,5,"1,58,156",MH12,First Owner,2993,Automatic,2011,16.73,218,450,17,Feb,2012,75,16.5,Mumbai
BMW,7 Series 730Ld,Zero Dep,Diesel,5,"1,33,273",MH14,First Owner,2993,Automatic,2014,16.46,258,560,18,Jun,2014,75,32.0,Mumbai
BMW,X5 xDrive 30d M Sport,Third Party insurance,Diesel,5,"83,985",MH12,First Owner,2993,Automatic,2017,15.97,258,560,19,Apr,2018,60,54.99,Mumbai
MG,ZS EV Exclusive,Comprehensive,Electric,5,"30,045",MH10,First Owner,0,Automatic,2021,,140.8,350,17,May,2021,20,22.5,Mumbai
BMW,X1 sDrive 20d xLine,Comprehensive,Diesel,5,"1,05,023",MH14,First Owner,1995,Automatic,2017,20.68,188,400,17,Sept,2017,60,23.5,Mumbai
Toyota,Etios Liva GD,Available,Diesel,5,"70,000",,Second Owner,1364,Manual,2013,23.59,67.06,170,14,,,75,3.5,Mumbai
Chevrolet,Beat LT,Not Available,Petrol,5,"17,477",MH14,First Owner,1199,Manual,2015,18.6,76.8,106.5,,Apr,2015,75,1.8,Mumbai
Maruti,Ertiga VXI CNG,Third Party insurance,CNG,7,"1,10,000",N/A,Fourth Owner,1373,Manual,2013,22.8,80.9,110,,,,75,4.0,Mumbai
Tata,Indica DLG,Third Party insurance,Diesel,5,"70,000",,First Owner,1396,Manual,2007,17.5,,14,14,,,75,1.7,Mumbai
Volkswagen,Polo Petrol Comfortline 1.2L,Third Party,Petrol,5,"34,158",CH01,First Owner,1198,Manual,2012,16.47,73.9,110,15,Apr,2012,75,2.0,Mumbai
Tata,Tiago XT,Zero Dep,Petrol,5,"23,979",MP14,First Owner,1199,Manual,2020,19.01,84.82,113,,Dec,2020,30,4.0,Mumbai
Renault,KWID Climber 1.0 MT,Third Party insurance,Petrol,5,"21,000",N/A,First Owner,999,Manual,2018,23.01,67,91,,,,50,3.5,Mumbai
Tata,Nexon XM,Third Party,Petrol,5,"10,138",MH10,First Owner,1199,Manual,2022,17.33,118.35,170,,Aug,2022,15,8.0,Mumbai
Maruti,Ciaz ZDi,Third Party insurance,Diesel,5,"73,000",,Third Owner,1248,Manual,2014,26.21,88.5,200,15,,,75,5.0,Mumbai
Chevrolet,Beat Diesel LS,Third Party insurance,Diesel,5,"1,20,000",,First Owner,936,Manual,2012,25.44,57.6,150,14,,,75,1.2,Mumbai
Maruti,Celerio VXI CNG,Third Party insurance,CNG,5,"27,000",MH14,First Owner,998,Manual,2019,30.47 ,58.33,78,,Mar,2019,40,5.65,Mumbai
Fiat,Linea Emotion Pack (Diesel),Third Party insurance,Diesel,5,"30,000",,Second Owner,1248,Manual,2010,19,93,209 ,15,,,75,2.0,Mumbai
Maruti,Swift Dzire VXI 1.2,Third Party,Petrol,5,"44,961",MH12,First Owner,1197,Manual,2016,21.21,81.80,113,,Mar,2016,70,6.9,Mumbai
Tata,Nexon 1.2 Revotron XMA,Third Party,Petrol,5,"27,507",MH12,First Owner,1198,Automatic,2019,17,108.5,170,,May,2019,40,8.5,Mumbai
Renault,Duster 110PS Diesel RxL,Third Party insurance,Diesel,5,"77,363",MH14,First Owner,1461,Manual,2017,19.6,108.45,245,,Nov,2017,60,8.5,Mumbai
Maruti,Vitara Brezza ZDi,Available,Diesel,5,"1,20,000",,First Owner,1248,Manual,2018,24.3,88.5,200,16,,,50,8.2,Mumbai
Ford,Ecosport 1.5 TDCi Titanium BSIV,Third Party insurance,Diesel,5,"1,20,000",,First Owner,1498,Manual,2016,22.77,98.59,205,16,,,70,6.0,Mumbai
Maruti,Baleno Delta,Comprehensive,Petrol,5,"11,300",,First Owner,1197,Manual,2022,21.01,81.80,113,,,,15,7.0,Mumbai
Honda,WR-V i-DTEC VX,Third Party,Diesel,5,"73,151",MH12,First Owner,1498,Manual,2017,25.5,98.6,200,16,Jul,2017,60,8.75,Mumbai
Honda,City ZX MT,Third Party insurance,Petrol,5,"1,720",MH12,First Owner,1497,Manual,2021,17.4,117.6,145,16,Mar,2021,20,12.5,Mumbai
Volkswagen,Polo Diesel Comfortline 1.2L,Third Party insurance,Diesel,5,"95,217",MH15,First Owner,1199,Manual,2012,22.07,73.9,180,15,Jan,2012,75,3.75,Mumbai
Nissan,Micra XL,Available,Petrol,5,"35,000",,Second Owner,1198,Manual,2012,18.06,75,104,14,,,75,2.2,Mumbai
Tata,Tigor 1.2 Revotron XZ,Third Party insurance,Petrol,5,"50,000",,Second Owner,1199,Manual,2020,20.3,84,114,15,,,30,5.0,Mumbai
Nissan,Sunny Diesel XL,Third Party insurance,Diesel,5,"80,000",,Fourth Owner,1461,Manual,2012,21.64,84.8,200,14,,,75,6.0,Mumbai
Renault,Duster 85PS Diesel RxL,Third Party insurance,Diesel,5,"1,10,000",,Second Owner,1461,Manual,2012,20.45,83.8,200,16,,,75,3.0,Mumbai
Honda,City GXi,Third Party insurance,Petrol,5,"1,20,000",,Third Owner,1497,Manual,2006,17.7,,12,14,,,75,1.0,Mumbai
Maruti,XL6 Alpha,Third Party insurance,Petrol,6,"50,000",,First Owner,1462,Manual,2020,19.01,103.2,138,R15,,,30,8.45,Mumbai
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"50,000",,Second Owner,796,Manual,2014,22.74,47.3,69,,,,75,2.35,Mumbai
Tata,Safari Storme VX Varicor 400,Individual,Diesel,7,"90,000",,Second Owner,2179,Manual,2018,14.1,153.86,400,17,,,50,11.0,Mumbai
Audi,A4 2.0 TDI,Third Party insurance,Diesel,5,"1,00,000",,First Owner,1968,Automatic,2013,16.55,147.51,320,16,,,75,9.8,Mumbai
Mahindra,XUV500 W9,Third Party insurance,Diesel,7,"25,000",,First Owner,2179,Manual,2021,15.1,152.87,360,R17,,,20,17.0,Mumbai
Mahindra,XUV300 W6 AMT Sunroof,Third Party insurance,Petrol,5,"5,000",,First Owner,1197,Automatic,2022,17,108.6,200,,,,15,10.5,Mumbai
Hyundai,i20 Magna 1.4 CRDi,Third Party,Diesel,5,"60,000",,Second Owner,1396,Manual,2016,22.54,88.73,219.7,,,,70,5.1,Mumbai
Volkswagen,Polo Petrol Comfortline 1.2L,Comprehensive,Petrol,5,"63,932",MH43,First Owner,1198,Manual,2011,16.47,73.9,110,15,Aug,2011,75,2.79,Mumbai
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"48,950",MH47,First Owner,1197,Manual,2016,21.4,83.1,115,,May,2016,70,5.19,Mumbai
Maruti,Vitara Brezza VDi,Comprehensive,Diesel,5,"80,000",,First Owner,1248,Manual,2019,24.3,88.5,200,,,,40,8.1,Mumbai
Hyundai,Grand i10 Sportz,Third Party insurance,Petrol,5,"42,945",MH03,First Owner,1197,Manual,2017,18.9,81.86,113.75,,Nov,2017,60,4.72,Mumbai
Honda,Jazz 1.2 V i VTEC,Comprehensive,Petrol,5,"37,300",MH01,First Owner,1199,Manual,2015,18.7,88.7,110,15,Dec,2015,75,4.69,Mumbai
Hyundai,i20 Sportz 1.2,Comprehensive,Petrol,5,"71,000",MH03,First Owner,1197,Manual,2012,18.6,81.83,114.7,,May,2012,75,3.7,Mumbai
Maruti,Swift Dzire VDI,Third Party,Diesel,5,"74,979",MH12,First Owner,1248,Manual,2015,28.4,74.02,190,,Aug,2015,75,6.5,Mumbai
Hyundai,Creta 1.6 CRDi SX Option,Third Party,Diesel,5,"69,794",MH12,First Owner,1582,Manual,2018,19.67,126.2,259.9,17,Nov,2018,50,15.0,Mumbai
Maruti,Baleno 1.3 Delta,Third Party,Diesel,5,"89,775",MH12,First Owner,1248,Manual,2017,27.39,74,190,,Sept,2017,60,6.75,Mumbai
Maruti,Zen Estilo LXI BSIII,Comprehensive,Petrol,5,"70,000",MH12,First Owner,998,Manual,2011,18.2,67.1,90,13,Jul,2011,75,2.0,Mumbai
Maruti,Swift LXI,Comprehensive,Petrol,5,"48,170",MH14,First Owner,1197,Manual,2015,18.6,85.8,114,14,Aug,2015,75,4.6,Mumbai
Maruti,Swift VXI Optional,Corporate,Petrol,5,"80,000",,First Owner,1197,Manual,2017,20.4,81.80,113,,,,60,5.1,Mumbai
Nissan,Terrano XL 85 PS,Third Party insurance,Diesel,5,"50,000",,First Owner,1461,Manual,2016,20.45,83.8,200,,,,70,6.5,Mumbai
Maruti,Swift VDI,Third Party insurance,Diesel,5,"1,10,000",N/A,Second Owner,1248,Manual,2012,22.9,74,190,14,,,75,3.8,Mumbai
Volkswagen,Polo 1.5 TDI Highline,Third Party insurance,Diesel,5,"70,000",,Second Owner,1498,Manual,2016,20.14,88,230,15,,,70,5.3,Mumbai
Mahindra,XUV500 R W10 FWD,Third Party insurance,Diesel,7,"68,000",,Second Owner,2179,Manual,2017,16,140,330,17,,,60,10.5,Mumbai
Honda,Amaze VX Petrol BSIV,Third Party insurance,Petrol,5,"87,149",MH14,First Owner,1199,Manual,2017,19.5,88.76,110,14,,,60,5.05,Mumbai
Hyundai,Grand i10 1.2 Kappa Asta,Third Party insurance,Petrol,5,"60,000",,First Owner,1197,Manual,2017,18.9,81.86,113.75,14,,,60,5.25,Mumbai
Mahindra,XUV500 AT W10 AWD,Third Party insurance,Diesel,7,"1,10,000",,Third Owner,2179,Automatic,2015,16,140,330,17,,,75,9.5,Mumbai
Renault,Duster 110PS Diesel RXZ Optional with Nav,Third Party insurance,Diesel,5,"1,20,000",,Second Owner,1461,Manual,2013,19.01,108.45,248,16,,,75,4.5,Mumbai
Maruti,SX4 Zxi with Leather BSIII,Third Party insurance,Petrol,5,"80,000",,Second Owner,1586,Manual,2007,15.6,104,1,16,,,75,1.2,Mumbai
Honda,City 1.5 V MT,Third Party insurance,Petrol,5,"1,62,000",,Fourth Owner,1497,Manual,2011,17,"118PS at 6,600 ",146Nm at 4800 r,15,,,75,3.0,Mumbai
Maruti,Alto K10 LXI,Comprehensive,Petrol,5,"23,360",MH12,First Owner,998,Manual,2012,20.92,67.1,90,13,Apr,2012,75,2.5,Mumbai
Tata,Indica TDI LS,Third Party insurance,Diesel,5,"1,20,000",,Fourth Owner,1405,Manual,2012,19.4,70,135.4,13,,,75,1.1,Mumbai
Maruti,Swift Dzire VXI,Third Party insurance,Petrol,5,"58,000",MH04,Second Owner,1197,Manual,2015,20.85,83.14,115,,Dec,2015,75,4.7,Mumbai
Toyota,Etios Liva G,Comprehensive,Petrol,5,"90,000",MH14,First Owner,1197,Manual,2011,18.3,,,14,Dec,2011,75,2.65,Mumbai
Maruti,Alto LXi,Comprehensive,Petrol,5,"77,000",MH12,First Owner,796,Manual,2005,19.7,46.3,62,12,Aug,2005,75,1.1,Mumbai
Renault,Triber RXT,Third Party insurance,Petrol,7,"15,000",,First Owner,999,Manual,2022,20,71.01,96,,,,15,7.2,Mumbai
Maruti,SX4 Green Vxi (CNG),Available,CNG,5,"50,000",,Second Owner,1586,Manual,2013,22.1,85.7,122,15,,,75,3.25,Mumbai
Toyota,Innova Crysta 2.4 G MT,Third Party,Diesel,7,"1,48,109",MH12,First Owner,2393,Manual,2020,13.68,147.51,343,16,Jan,2020,30,19.75,Mumbai
Ford,Figo Petrol Titanium,Third Party,Petrol,5,"50,000",,Third Owner,1196,Manual,2010,15.6,70,102,14,,,75,1.17,Mumbai
Hyundai,Santro Xing GLS,Third Party insurance,Petrol,5,"1,02,000",MH01,Second Owner,1086,Manual,2009,17.92,62.1,96.1,13,Aug,2009,75,1.55,Mumbai
Hyundai,Xcent 1.2 Kappa S Option,Comprehensive,Petrol,5,"96,000",MH12,Second Owner,1197,Manual,2014,19.1,81.86,113.75,14,May,2014,75,4.0,Mumbai
Skoda,Rapid 1.6 MPI AT Ambition,Third Party insurance,Petrol,5,"57,000",MH14,First Owner,1598,Automatic,2014,14.3,105,153,14,Nov,2014,75,4.7,Mumbai
Tata,Nexon EV Prime XZ Plus Dark Edition,Comprehensive,Electric,5,"18,440",MH12,First Owner,0,Automatic,2022,,127,245,16,Feb,2022,15,15.5,Mumbai
Mercedes-Benz,C-Class C 220d Avantgarde Edition C,Comprehensive,Diesel,5,"17,826",MH09,First Owner,2143,Automatic,2021,19.27,167.62,400,17,Nov,2021,20,52.0,Mumbai
Hyundai,i20 1.2 Asta,Third Party insurance,Petrol,5,"40,757",MH04,First Owner,1197,Manual,2015,18.6,81.83,114.7,16,Dec,2015,75,5.3,Mumbai
Hyundai,Venue S BSIV,Comprehensive,Petrol,5,"31,000",MH14,First Owner,1197,Manual,2021,17.52,81.86,115,,Jun,2021,20,8.5,Mumbai
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"74,223",MH42,First Owner,2755,Automatic,2019,11.36,171.5,360,17,Mar,2019,40,24.51,Mumbai
Maruti,Swift VXI,Third Party insurance,Petrol,5,"18,000",MH12,First Owner,1197,Manual,2017,18.6,85.8,114,14,May,2017,60,5.6,Mumbai
Maruti,Wagon R LXI CNG,Third Party,CNG,5,"64,000",MH04,Second Owner,998,Manual,2012,26.6,58.16,77,,Oct,2012,75,3.1,Mumbai
Hyundai,Xcent 1.2 Kappa Base,Third Party insurance,Petrol,5,"30,113",MH12,First Owner,1197,Manual,2015,19.1,82,114,,Mar,2015,75,4.0,Mumbai
Volkswagen,Vento 1.5 TDI Highline,Third Party insurance,Diesel,5,"76,435",MH12,First Owner,1498,Manual,2017,22.27,108.6,250,15,Oct,2017,60,7.0,Mumbai
Mercedes-Benz,E-Class E350 CDI Elegance,Comprehensive,Diesel,5,"95,203",MH12,First Owner,2987,Automatic,2011,11.5,210,490,17,Feb,2011,75,11.5,Mumbai
Hyundai,i20 Asta,Comprehensive,Petrol,5,"39,000",MH14,First Owner,1197,Manual,2018,17,80 PS at 5200 ,"11.4 kgm at 4,000 r",14,Jul,2018,50,7.1,Mumbai
BMW,X1 sDrive20d,Third Party insurance,Diesel,5,"70,256",MH04,Second Owner,1995,Automatic,2011,17.05,184,380,17,Jan,2011,75,9.89,Mumbai
Maruti,Eeco 5 Seater AC BSIV,Third Party insurance,Petrol,5,"12,345",,,1196,Manual,2018,15.37,73,101,,,,50,14.15,Mumbai
Maruti,Eeco 5 Seater AC BSIV,Third Party insurance,Petrol,5,"12,345",,,1196,Manual,2018,15.37,73,101,,,,50,7.0,Mumbai
Maruti,Eeco 5 Seater AC BSIV,Third Party insurance,Petrol,5,"12,345",,,1196,Manual,2018,15.37,73,101,,,,50,11.5,Mumbai
Ford,Ecosport 1.0 Ecoboost Titanium Optional,Comprehensive,Petrol,5,"70,000",MH01,First Owner,999,Manual,2013,18.88,123.37,170,16,Dec,2013,75,4.75,Mumbai
Ford,Ecosport 1.5 Ti VCT AT Titanium BSIV,Comprehensive,Petrol,5,"70,000",MH47,Third Owner,1499,Automatic,2015,15.63,110.4,140,16,Oct,2015,75,5.25,Mumbai
Honda,Brio VX,Comprehensive,Petrol,5,"66,000",MH12,First Owner,1198,Manual,2013,19.4,86.8,109,14,Mar,2013,75,3.2,Mumbai
Volkswagen,Polo 1.2 MPI Highline,Third Party,Petrol,5,"73,400",MH12,First Owner,1199,Manual,2015,16.2,74,110,15,Jun,2015,75,5.25,Mumbai
Hyundai,Elantra SX AT,Comprehensive,Petrol,5,"44,000",MH01,First Owner,1797,Automatic,2013,14.5,147.5,177.5,16,Oct,2013,75,5.4,Mumbai
