Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Maruti,Swift VXI,Comprehensive,Petrol,5,"88,144",KA51,Second Owner,1197,Manual,2015,21.21,81.80,113,,Jun,2015,75,5.1,Bangalore
Hyundai,i20 Asta 1.2,Third Party,Petrol,5,"27,284",KA50,First Owner,1197,Manual,2017,18.6,81.83,114.7,16,Jun,2017,60,7.35,Bangalore
Maruti,Swift Dzire VXI,Comprehensive,Petrol,5,"50,796",KA41,First Owner,1197,Manual,2014,19.1,85.8,114,14,Jun,2014,75,4.77,Bangalore
Hyundai,Grand i10 1.2 Kappa Asta,Comprehensive,Petrol,5,"34,246",KA22,Second Owner,1197,Manual,2017,18.9,81.86,113.75,14,Jun,2017,60,5.67,Bangalore
Honda,City i VTEC SV,Comprehensive,Petrol,5,"29,660",KA03,First Owner,1497,Manual,2014,17.4,117.3,145,,Jun,2014,75,6.42,Bangalore
Ford,Ecosport 1.5 Petrol Titanium BSIV,Third Party,Petrol,5,"43,612",KA41,First Owner,1497,Manual,2019,17,121.31,150,16,Jun,2019,40,9.19,Bangalore
Tata,Altroz XT Turbo,Comprehensive,Petrol,5,"23,981",KA28,Second Owner,1199,Manual,2021,18.5,108.48,140,,Jun,2021,20,9.3,Bangalore
Hyundai,Verna VTVT 1.6 SX,Third Party,Petrol,5,"83,850",KA09,First Owner,1591,Manual,2017,17,121.3,151,16,Jun,2017,60,7.17,Bangalore
Tata,Altroz XZ Diesel,Third Party,Diesel,5,"15,931",KA05,First Owner,1497,Manual,2021,23.64,88.77,200,16,Jun,2021,20,9.96,Bangalore
Renault,Duster RXS,Comprehensive,Petrol,5,"66,366",KA04,First Owner,1498,Manual,2020,16.42,104.55,142,,Jun,2020,30,9.18,Bangalore
Hyundai,i20 Asta Option 1.4 CRDi,Third Party,Diesel,5,"88,473",KA51,First Owner,1396,Manual,2015,22.54,88.73,219.7,16,Jun,2015,75,6.43,Bangalore
Honda,City i VTEC CVT VX,Comprehensive,Petrol,5,"61,468",KA04,First Owner,1497,Automatic,2015,18,117.3,145,15,Jun,2015,75,7.23,Bangalore
Audi,Q5 2.0 TDI,Comprehensive,Diesel,5,"72,000",KA03,Second Owner,1968,Automatic,2012,12.8,167.6,350,17,Jan,2012,75,18.0,Bangalore
Mahindra,XUV300 W8 Diesel,Comprehensive,Diesel,5,"33,171",KA05,First Owner,1497,Manual,2019,20,115,300,R17,Jul,2019,40,11.45,Bangalore
Ford,Endeavour 3.2 Titanium AT 4X4,Comprehensive,Diesel,7,"80,000",KA19,Second Owner,3198,Automatic,2017,10.91,197,470,18,Mar,2017,60,28.5,Bangalore
Volkswagen,Taigun 1.0 TSI Highline AT,Third Party,Petrol,5,"5,361",KA01,First Owner,999,Automatic,2021,18.41,113.98,178,16,Jan,2022,20,15.95,Bangalore
Volkswagen,Vento Diesel Highline,Individual,Diesel,5,"90,000",,Fourth Owner,1598,Manual,2012,20.54,103.6,250,15,,,75,4.5,Bangalore
MG,Hector Sharp DCT,Third Party insurance,Petrol,5,"35,000",,Second Owner,1451,Automatic,2019,13.96,141,250,R17,,,40,15.5,Bangalore
Mercedes-Benz,GLA Class 220 d 4MATIC,Comprehensive,Diesel,5,"37,000",KA01,Second Owner,2143,Automatic,2018,17.9,170,350,18,Jun,2018,50,29.5,Bangalore
Honda,City i VTEC VX Option,Comprehensive,Petrol,5,"64,000",KA04,First Owner,1497,Manual,2015,17.8,117.3,145,15,Jan,2015,75,7.5,Bangalore
Hyundai,Verna SX IVT Opt,Third Party,Petrol,5,"23,778",KA22,First Owner,1497,Automatic,2021,18.45,113.18,143.8,16,Jun,2021,20,14.97,Bangalore
Honda,City i-VTEC CVT VX,Third Party,Petrol,5,"79,938",KA03,Second Owner,1497,Automatic,2018,18,117.6,145,16,Jun,2018,50,10.06,Bangalore
Mahindra,XUV300 W8 Option Diesel BSIV,Comprehensive,Diesel,5,"95,795",KA42,First Owner,1497,Manual,2020,20,115,300,17,Jun,2020,30,10.36,Bangalore
Maruti,Baleno Delta,Third Party,Petrol,5,"28,342",KA01,First Owner,1197,Manual,2019,21.01,81.80,113,,Jun,2019,40,7.33,Bangalore
Honda,City i VTEC V,Comprehensive,Petrol,5,"52,164",KA05,First Owner,1497,Manual,2015,17.4,117.3,145,15,Jun,2015,75,6.96,Bangalore
Maruti,Baleno Alpha CVT,Comprehensive,Petrol,5,"65,637",KA29,First Owner,1197,Automatic,2017,19.56,81.80,113,R16,Jun,2017,60,7.09,Bangalore
Hyundai,Grand i10 AT Asta,Comprehensive,Petrol,5,"61,361",KA05,Third Owner,1197,Automatic,2014,18.9,82,114,14,Aug,2014,75,4.4,Bangalore
Datsun,GO Plus T Option Petrol,Third Party,Petrol,7,"24,850",KA05,First Owner,1198,Manual,2019,19.83,67,104,14,Jun,2019,40,5.6,Bangalore
Mahindra,Marazzo M4 Plus 8Str,Comprehensive,Diesel,8,"22,150",KA41,First Owner,1497,Manual,2020,17.3,120.96,300,16,Jun,2020,30,12.0,Bangalore
Hyundai,Creta 1.6 VTVT S,Third Party,Petrol,5,"53,703",KA04,Second Owner,1591,Manual,2015,15.29,121.3,151,,Jun,2015,75,8.18,Bangalore
