Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
MG,Third Party insurance,Petrol,6.0,20351.0,First Owner,1451.0,Automatic,16.56,141.0,18,Jul,2020.0,20.5,Hyderabad
Volkswagen,Third Party insurance,Diesel,5.0,93557.0,First Owner,1598.0,Manual,20.54,103.6,15,Feb,2012.0,4.6,Hyderabad
Skoda,Not Available,Diesel,5.0,97642.0,First Owner,1968.0,Automatic,19.3,141.0,16,Dec,2013.0,7.0,Jaipur
Audi,Comprehensive,Diesel,5.0,75000.0,First Owner,1968.0,Automatic,15.17,181.0,18,Dec,2014.0,13.0,Delhi
Tata,Zero Dep,Diesel,5.0,11521.0,First Owner,1956.0,Manual,17.0,167.63,R17,Oct,2021.0,17.0,Jaipur
Maruti,Third Party,Petrol,5.0,57963.0,First Owner,1197.0,Manual,21.4,83.1,,Jun,2016.0,4.64,Delhi
Maruti,Not Available,Diesel,5.0,54479.0,First Owner,1248.0,Manual,28.4,74.0,15,Nov,2019.0,6.19,Ahmedabad
BMW,Third Party,Diesel,5.0,67730.0,First Owner,1995.0,Automatic,17.05,184.0,17,Mar,2013.0,8.71,Ahmedabad
Ford,Third Party,Petrol,5.0,18078.0,First Owner,1196.0,Manual,18.16,86.8,14,Jun,2019.0,5.81,Hyderabad
Maruti,Not Available,Petrol,5.0,81849.0,Second Owner,998.0,Manual,20.51,67.04,,Nov,2015.0,3.25,Jaipur
Honda,Third Party,Petrol,5.0,54846.0,First Owner,1497.0,Manual,17.8,117.3,,Jun,2017.0,4.6,Kolkata
Tata,Comprehensive,Petrol,5.0,22011.0,Second Owner,1198.0,Automatic,17.0,108.5,16,Jun,2019.0,8.84,Mumbai
Honda,Comprehensive,Petrol,5.0,64433.0,First Owner,1199.0,Manual,18.7,88.7,15,Jun,2015.0,5.72,Bangalore
Hyundai,Comprehensive,Petrol,5.0,42903.0,First Owner,1591.0,Automatic,17.01,121.3,16,Jun,2017.0,8.68,Hyderabad
Hyundai,Comprehensive,Diesel,5.0,72130.0,First Owner,1582.0,Manual,19.67,126.2,16,Jul,2017.0,10.6,Hyderabad
Volkswagen,Zero Dep,Petrol,5.0,38500.0,First Owner,999.0,Manual,17.69,108.62,15,Nov,2020.0,9.25,Hyderabad
Mahindra,Comprehensive,Diesel,7.0,31245.0,First Owner,2179.0,Automatic,15.1,152.87,17,May,2018.0,15.0,Ahmedabad
Ford,Not Available,Diesel,5.0,133657.0,Third Owner,1399.0,Manual,20.0,68.0,14,Aug,2011.0,1.5,Jaipur
Ford,Third Party insurance,Petrol,5.0,27644.0,First Owner,1497.0,Automatic,14.8,121.36,,Jan,2018.0,8.45,Mumbai
Maruti,Not Available,Petrol,5.0,118445.0,First Owner,1586.0,Manual,15.5,103.3,15,Feb,2010.0,2.17,Hyderabad
Hyundai,Not Available,Diesel,5.0,79937.0,First Owner,1186.0,Manual,24.0,73.97,,Dec,2017.0,4.75,Ahmedabad
Hyundai,Third Party,Diesel,7.0,37931.0,First Owner,1493.0,Manual,20.4,113.42,18,Mar,2022.0,19.0,Ahmedabad
Maruti,Third Party,Petrol,5.0,22337.0,First Owner,1197.0,Manual,21.01,81.8,,Jun,2020.0,6.42,Delhi
Nissan,Third Party,Petrol,5.0,8857.0,First Owner,999.0,Manual,18.75,71.02,16,Jun,2021.0,9.53,Hyderabad
Nissan,Third Party insurance,Diesel,5.0,80000.0,Fourth Owner,1461.0,Manual,21.64,84.8,14,,,6.0,Pune
Toyota,Comprehensive,Petrol,5.0,20014.0,First Owner,1798.0,Automatic,14.28,138.03,16,Mar,2019.0,15.75,Mumbai
Maruti,Third Party,Petrol,5.0,13766.0,First Owner,796.0,Manual,22.05,47.33,,Jun,2020.0,3.96,Kolkata
Honda,Third Party,Petrol,5.0,25196.0,First Owner,1497.0,Manual,17.4,117.6,15,Jun,2017.0,8.13,Bangalore
Ford,Comprehensive,Diesel,5.0,75000.0,First Owner,1498.0,Manual,23.5,9.0,15,Dec,2011.0,2.99,Jaipur
Honda,Third Party,Petrol,5.0,60771.0,Second Owner,1199.0,Automatic,19.0,88.7,15,Jun,2016.0,4.5,Mumbai
